,years,technology,scenario,capacity,generation,retirement,cap.change,investment,annual.capex,annual.FOM,annual.VOM,annual.Fuel,annual.opex
205,2050,Geo,Reference,7586.6,56447.53,10.0,107.450000000001,117.450000000001,507984.732769881,959856.632,0.0,0.0,959856.632
206,2010,Hydro,Reference,,,0.0,,,,,,,
207,2011,Hydro,Reference,,,0.0,,,,,,,
208,2012,Hydro,Reference,,,0.0,,,,,,,
209,2013,Hydro,Reference,101262.8,287302.327944,0.0,,,,,,,
210,2014,Hydro,Reference,102060.7,279422.515224,0.0,797.900000000005,797.900000000005,,,,,
211,2015,Hydro,Reference,102219.7,269259.303384,1.5,159.0,160.5,,,,,
212,2016,Hydro,Reference,102558.7,289379.542944,1.5,338.999999999996,340.499999999996,,,,,
213,2017,Hydro,Reference,102490.5,322970.143128,0.0,-68.1999999999971,39.0,,,,,
214,2018,Hydro,Reference,102587.3,314383.166268,0.0,96.799999999992,96.799999999992,,,,,
215,2019,Hydro,Reference,102592.7,308875.364448,0.0,5.40000000000509,66.1000000000058,167117.285787469,6489984.450117,0.0,0.0,6489984.450117
216,2020,Hydro,Reference,102750.0,305649.459408,0.0,157.299999999992,184.899999999998,467473.242095983,6499935.2025,0.0,0.0,6499935.2025
217,2021,Hydro,Reference,102689.35,296015.004204,0.0,-60.6500000000015,0.0,0.0,6496098.5010885,0.0,0.0,6496098.5010885
218,2022,Hydro,Reference,102628.7,286380.549,0.0,-60.6499999999978,0.0,0.0,6492261.799677,0.0,0.0,6492261.799677
219,2023,Hydro,Reference,102628.7,287678.2975,0.0,0.0,0.0,0.0,6492261.799677,0.0,0.0,6492261.799677
220,2024,Hydro,Reference,102628.7,288976.046,0.0,0.0,0.0,0.0,6492261.799677,0.0,0.0,6492261.799677
221,2025,Hydro,Reference,102453.0,295358.539,0.0,-175.700000000008,71.3999999999978,180516.979370755,6481147.06863,0.0,0.0,6481147.06863
222,2026,Hydro,Reference,102277.3,301741.032,0.0,-175.69999999999,71.4000000000015,178711.808231435,6470032.337583,0.0,0.0,6470032.337583
223,2027,Hydro,Reference,102319.8,302110.144,13.7,42.5000000000073,56.2000000000073,139245.840400246,6472720.875258,0.0,0.0,6472720.875258
224,2028,Hydro,Reference,102362.3,302479.256,13.7,42.4999999999964,56.1999999999964,137824.963396994,6475409.412933,0.0,0.0,6475409.412933
225,2029,Hydro,Reference,104074.05,304874.277,1.0,1711.75,1712.75,4157048.02439404,6583694.2215255,0.0,0.0,6583694.2215255
226,2030,Hydro,Reference,105785.8,307269.298,1.0,1711.74999999999,1712.74999999999,4113745.40718276,6357380.660434,0.0,0.0,6357380.660434
227,2031,Hydro,Reference,106782.05,308457.037,0.0,996.249999999993,996.249999999993,2371168.18146079,6417252.0276965,0.0,0.0,6417252.0276965
228,2032,Hydro,Reference,107778.3,309644.776,0.0,996.250000000007,996.250000000007,2349506.78364511,6477123.394959,0.0,0.0,6477123.394959
229,2033,Hydro,Reference,108897.8,310877.239,0.0,1119.50000000001,1119.50000000001,2615832.28048785,6544401.684194,0.0,0.0,6544401.684194
230,2034,Hydro,Reference,110017.3,312109.702,0.0,1119.5,1119.5,2591491.06607912,6611679.973429,0.0,0.0,6611679.973429
231,2035,Hydro,Reference,111412.05,313867.633,0.0,1394.75,1394.75,3198331.62627715,6695499.8875965,0.0,0.0,6695499.8875965
232,2036,Hydro,Reference,112806.8,315625.564,0.0,1394.75,1394.75,3168005.66933517,6779319.801764,0.0,0.0,6779319.801764
233,2037,Hydro,Reference,113080.95,314230.315,0.0,274.150000000001,274.150000000001,616737.690017993,6795795.3202935,0.0,0.0,6795795.3202935
234,2038,Hydro,Reference,113355.1,312835.066,0.0,274.150000000001,274.150000000001,610776.864711917,6812270.838823,0.0,0.0,6812270.838823
235,2039,Hydro,Reference,113824.95,312518.306,0.0,469.849999999999,469.849999999999,1036559.60647395,6840507.2874135,0.0,0.0,6840507.2874135
236,2040,Hydro,Reference,114294.8,312201.546,0.0,469.849999999999,469.849999999999,1026343.68901979,6246941.163772,0.0,0.0,6246941.163772
237,2041,Hydro,Reference,114722.15,310607.277,0.0,427.350000000006,427.350000000006,933506.386086227,6270298.5720385,0.0,0.0,6270298.5720385
238,2042,Hydro,Reference,115149.5,309013.008,0.0,427.349999999999,427.349999999999,933506.386086211,6293655.980305,0.0,0.0,6293655.980305
239,2043,Hydro,Reference,115781.8,307850.116,0.0,632.299999999988,632.299999999988,1381200.62693882,6328215.215702,0.0,0.0,6328215.215702
240,2044,Hydro,Reference,116414.1,306687.224,0.0,632.300000000003,632.300000000003,1381200.62693885,6362774.451099,0.0,0.0,6362774.451099
241,2045,Hydro,Reference,117616.75,305777.359,0.0,1202.65,1202.65,2627077.23230745,6428506.9585325,0.0,0.0,6428506.9585325
242,2046,Hydro,Reference,118819.4,304867.494,0.0,1202.65000000001,1202.65000000001,2627077.23230746,6494239.465966,0.0,0.0,6494239.465966
243,2047,Hydro,Reference,119589.1,305991.726,0.0,769.699999999997,769.699999999997,1681338.16630527,6536308.489349,0.0,0.0,6536308.489349
244,2048,Hydro,Reference,120358.8,307115.958,0.0,769.699999999997,769.699999999997,1681338.16630527,6578377.512732,0.0,0.0,6578377.512732
245,2049,Hydro,Reference,121197.45,305748.046,0.0,838.650000000001,838.650000000001,1831953.03777046,6624215.0942055,0.0,0.0,6624215.0942055
246,2050,Hydro,Reference,122036.1,304380.134,0.0,838.650000000001,838.650000000001,1831953.03777046,6670052.675679,0.0,0.0,6670052.675679
247,2010,Nuclear,Reference,101167.4,807352.272264,0.0,,,,,,,
248,2011,Nuclear,Reference,101265.1,790390.307916,0.0,97.7000000000116,97.7000000000116,,,,,
249,2012,Nuclear,Reference,101166.0,767461.46256,0.0,-99.1000000000058,0.0,,,,,
250,2013,Nuclear,Reference,99006.8,787508.007744,2090.15,-2159.2,0.0,,,,,
251,2014,Nuclear,Reference,98569.3,791799.301356,2090.15,-437.5,1652.65,,,,,
252,2015,Nuclear,Reference,98614.6,797346.376008,241.4,45.3000000000029,286.700000000003,,,,,
253,2016,Nuclear,Reference,99364.8,803412.103104,241.4,750.199999999997,991.599999999997,,,,,
254,2017,Nuclear,Reference,99619.5,805471.47486,303.85,254.699999999997,558.549999999997,,,,,
255,2018,Nuclear,Reference,99605.2,807100.9356,303.85,-14.3000000000029,289.549999999997,,,,,
256,2019,Nuclear,Reference,98836.7,808666.065528,1546.95,-768.5,778.45,5751246.48772589,14328586.887747,1901803.59284253,5735763.4712342,21966153.9518237
257,2020,Nuclear,Reference,97238.3,787070.137392,1546.95,-1598.39999999999,0.0,0.0,14096863.1122529,1851014.74999304,5579033.09203806,21526910.954284
258,2021,Nuclear,Reference,95092.45,764734.298696,2953.25,-2145.84999999999,807.400000000009,5877172.72232728,13785774.2335968,1798485.80128111,5428656.61672371,21012916.6516016
259,2022,Nuclear,Reference,92946.6,742398.46,2953.25,-2145.85000000001,807.399999999994,5859067.27588476,13474685.3549407,1745956.85256917,5277815.86804823,20498458.0755581
260,2023,Nuclear,Reference,91826.6,733452.58,561.0,-1120.0,0.0,0.0,13312316.343083,1724918.1229249,5229463.9049006,20266698.3709085
261,2024,Nuclear,Reference,90706.6,724506.7,561.0,-1120.0,0.0,0.0,13149947.3312253,1703879.39328063,5173210.23497868,20027036.9594846
262,2025,Nuclear,Reference,90706.6,724506.7,559.0,0.0,559.0,3937375.25261653,13149947.3312253,1703879.39328063,5188269.85129052,20042096.5757964
263,2026,Nuclear,Reference,90706.6,724506.7,559.0,0.0,559.0,3916791.58046883,13149947.3312253,1703879.39328063,5195799.65944643,20049626.3839523
264,2027,Nuclear,Reference,91039.1,727124.35,0.0,332.5,332.5,2318032.95776089,13198150.6316205,1710035.52667984,5229686.16277421,20137872.3210746
265,2028,Nuclear,Reference,91371.6,729742.0,0.0,332.5,332.5,2305594.55798394,13246353.9320158,1716191.66007905,5256097.26849139,20218642.8605862
266,2029,Nuclear,Reference,91731.6,732476.0,0.0,360.0,360.0,2481654.34178511,13298543.9715415,1722621.4229249,5291014.65886618,20312180.0533326
267,2030,Nuclear,Reference,92091.6,735210.0,0.0,360.0,360.0,2464617.10197293,13350734.0110672,1729051.18577075,5326045.70724027,20405830.9040782
268,2031,Nuclear,Reference,92091.6,735218.0,0.0,0.0,0.0,0.0,13350734.0110672,1729070.0,5333744.7920925,20413548.8031597
269,2032,Nuclear,Reference,92091.6,735226.0,0.0,0.0,0.0,0.0,13350734.0110672,1729088.81422925,5349085.25722206,20428908.0825185
270,2033,Nuclear,Reference,92091.6,735209.3,0.0,0.0,0.0,0.0,13350734.0110672,1729049.53952569,5364245.83839353,20444029.3889864
271,2034,Nuclear,Reference,92091.6,735192.6,0.0,0.0,0.0,0.0,13350734.0110672,1729010.26482213,5371764.85844923,20451509.1343385
272,2035,Nuclear,Reference,92091.6,735212.715,0.0,0.0,0.0,0.0,13350734.0110672,1729057.5708498,5387201.57822775,20466993.1601447
273,2036,Nuclear,Reference,92091.6,735232.83,0.0,0.0,0.0,0.0,13350734.0110672,1729104.87687747,5402631.53893307,20482470.4268777
274,2037,Nuclear,Reference,92091.6,735251.015,0.0,0.0,0.0,0.0,13350734.0110672,1729147.64397233,5410406.63976355,20490288.294803
275,2038,Nuclear,Reference,92091.6,735269.2,0.0,0.0,0.0,0.0,13350734.0110672,1729190.41106719,5425823.78155525,20505748.2036896
276,2039,Nuclear,Reference,92091.6,735292.425,0.0,0.0,0.0,0.0,13350734.0110672,1729245.03112648,5441278.97612325,20521258.0183169
277,2040,Nuclear,Reference,92091.6,735315.65,0.0,0.0,0.0,0.0,13350734.0110672,1729299.65118577,5456735.13620223,20536768.7984552
278,2041,Nuclear,Reference,92091.6,735334.145,0.0,0.0,0.0,0.0,13350734.0110672,1729343.14733201,5472157.06241641,20552234.2208156
279,2042,Nuclear,Reference,92091.6,735352.64,0.0,0.0,0.0,0.0,13350734.0110672,1729386.64347826,5487579.75750574,20567700.4120512
280,2043,Nuclear,Reference,92091.6,735326.87,0.0,0.0,0.0,0.0,13350734.0110672,1729326.03814229,5502671.97317124,20582732.0223807
281,2044,Nuclear,Reference,92091.6,735301.1,0.0,0.0,0.0,0.0,13350734.0110672,1729265.43280632,5517763.11752488,20597762.5613984
282,2045,Nuclear,Reference,92091.6,735256.28,0.0,0.0,0.0,0.0,13350734.0110672,1729160.02608696,5532709.84174346,20612603.8788976
283,2046,Nuclear,Reference,92091.6,735211.46,0.0,0.0,0.0,0.0,13350734.0110672,1729054.61936759,5547654.70270252,20627443.3331373
284,2047,Nuclear,Reference,92091.6,735146.93,0.0,0.0,0.0,0.0,13350734.0110672,1728902.85909091,5562456.160601,20642093.0307591
285,2048,Nuclear,Reference,92091.6,735082.4,0.0,0.0,0.0,0.0,13350734.0110672,1728751.09881423,5577247.34036482,20656732.4502462
286,2049,Nuclear,Reference,91208.05,727984.5,900.05,-883.550000000003,16.499999999997,98376.1647146994,13222643.7071146,1712058.40909091,5538525.76826847,20473227.884474
287,2050,Nuclear,Reference,90324.5,720886.6,900.05,-883.550000000003,16.499999999997,96630.7890813504,13094553.403162,1695365.71936759,5499509.12188054,20289428.2444102
288,2010,Solar,Reference,,,0.0,,,,,,,
289,2011,Solar,Reference,,,0.0,,,,,,,
290,2012,Solar,Reference,,,0.0,,,,,,,
291,2013,Solar,Reference,,,0.0,,,,,,,
292,2014,Solar,Reference,14887.2,28002.514736,0.0,,,,,,,
293,2015,Solar,Reference,20305.1,37476.53848,0.0,5417.9,5417.9,,,,,
294,2016,Solar,Reference,27931.5,51893.6544,0.0,7626.4,7626.4,,,,,
295,2017,Solar,Reference,39093.7,75261.973104,0.0,11162.2,11162.2,,,,,
296,2018,Solar,Reference,47695.4,91288.790708,0.0,8601.7,8601.7,,,,,
297,2019,Solar,Reference,56059.4,104804.062544,0.0,8364.0,8364.0,15418590.1619788,1362296.43074659,7238.954116847,0.0,1369535.38486344
298,2020,Solar,Reference,68047.9,127238.203752,0.0,11988.5,11988.5,20830659.1119685,1683546.64578762,7238.954116847,0.0,1690785.59990446
299,2021,Solar,Reference,86042.8,173282.998076,0.0,17994.9,17994.9,25467355.447505,2017652.65863371,7238.954116847,0.0,2024891.61275056
300,2022,Solar,Reference,104037.7,219327.7924,0.0,17994.9,17994.9,23941093.1173799,2315472.40203172,5967.731775845,0.0,2321440.13380757
301,2023,Solar,Reference,111334.3,233359.1747,0.818144632945469,7296.6,7297.41814463294,10007559.8801128,2357747.09240075,5992.68633739125,0.0,2363739.77873814
302,2024,Solar,Reference,118630.9,247390.557,0.818144632945469,7296.6,7297.41814463294,9278137.78036234,2385606.87131546,6017.6408989375,0.0,2391624.51221439
303,2025,Solar,Reference,138285.15,291510.2874,0.880357481999428,19654.25,19655.130357482,21595713.655973,2634106.9683209,5993.3404774075,0.0,2640100.3087983
304,2026,Solar,Reference,157939.4,335630.0178,0.880357481999428,19654.25,19655.130357482,19857757.0112348,2846351.14420331,5969.0400558775,0.0,2852320.18425919
305,2027,Solar,Reference,176266.8,372163.0226,0.970688484201341,18327.4,18328.3706884842,17581998.2889545,2995759.16304549,5974.4151419925,0.0,3001733.57818748
306,2028,Solar,Reference,194594.2,408696.0274,0.970688484201341,18327.4,18328.3706884842,15802229.6266461,3109629.45916544,5979.7902281075,0.0,3115609.24939355
307,2029,Solar,Reference,234229.35,495964.8272,13.2242663783859,39635.15,39648.3742663784,29690634.526702,3516125.93044678,5965.4574345975,0.0,3522091.38788138
308,2030,Solar,Reference,273864.5,583233.627,13.2242663783859,39635.15,39648.3742663784,26119384.7867119,3849596.76931719,5951.1246410875,0.0,3855547.89395828
309,2031,Solar,Reference,285998.45,603518.9795,97.9889378868742,12133.95,12231.9389378869,8480014.87940436,3967271.89208581,5948.87251809375,0.0,3973220.76460391
310,2032,Solar,Reference,298132.4,623804.332,97.9889378868742,12133.95,12231.9389378869,8363119.54213962,4082419.26425839,5946.6203951,0.0,4088365.88465349
311,2033,Solar,Reference,312913.75,651583.3441,123.892331471587,14781.35,14905.2423314716,9628262.06191588,4243592.39316971,5963.41999187375,0.0,4249555.81316158
312,2034,Solar,Reference,327695.1,679362.3562,123.892331471587,14781.35,14905.2423314716,9497814.9203113,4401382.64526662,5980.2195886475,0.0,4407362.86485526
313,2035,Solar,Reference,336765.9,694090.1756,162.556329074331,9070.80000000002,9233.35632907435,5951362.32270231,4474871.59952931,5961.750737355,0.0,4480833.35026666
314,2036,Solar,Reference,345836.7,708817.995,162.556329074331,9070.79999999999,9233.35632907432,5866056.25831927,4546482.62051389,5943.2818860625,0.0,4552425.90239995
315,2037,Solar,Reference,356184.9,724614.624,185.752751624896,10348.2,10533.9527516249,6481569.49381444,4636570.17205926,5946.9579971375,0.0,4642517.1300564
316,2038,Solar,Reference,366533.1,740411.253,185.752751624896,10348.2,10533.9527516249,6387903.72233089,4724423.55479448,5950.6341082125,0.0,4730374.18890269
317,2039,Solar,Reference,373833.5,751282.0602,353.020388162088,7300.40000000002,7653.42038816211,4640639.90594467,4768954.35921043,5970.1896340975,0.0,4774924.54884453
318,2040,Solar,Reference,381133.9,762152.8674,353.020388162088,7300.39999999998,7653.42038816207,4570259.2806943,4812026.13057293,5989.7451599825,0.0,4818015.87573292
319,2041,Solar,Reference,393747.45,784976.7076,1438.18459432583,12613.55,14051.7345943258,7990991.61895456,4927381.95467133,5810.21070483,0.0,4933192.16537616
320,2042,Solar,Reference,406361.0,807800.5478,1438.18459432583,12613.55,14051.7345943258,7871793.90890575,5039902.66694036,5630.6762496775,0.0,5045533.34319004
321,2043,Solar,Reference,417198.0,827677.7489,3753.35976106848,10837.0,14590.3597610685,8092810.41853042,5112893.38368053,2815.33812483875,0.0,5115708.72180537
322,2044,Solar,Reference,428035.0,847554.95,3753.35976106848,10837.0,14590.3597610685,7967322.025035,5183438.81603462,0.0,0.0,5183438.81603462
323,2045,Solar,Reference,442837.45,875912.66,6063.98245340567,14802.45,20866.4324534057,11091696.2012551,5316705.62775777,0.0,0.0,5316705.62775777
324,2046,Solar,Reference,457639.9,904270.37,6063.98245340567,14802.45,20866.4324534057,10917583.9608489,5446668.67837207,0.0,0.0,5446668.67837207
325,2047,Solar,Reference,468622.25,926094.1,5337.08665759148,10982.35,16319.4366575915,8454247.00215183,5524602.96549418,0.0,0.0,5524602.96549418
326,2048,Solar,Reference,479604.6,947917.83,5337.08665759148,10982.35,16319.4366575915,8315608.20951636,5600193.01833396,0.0,0.0,5600193.01833396
327,2049,Solar,Reference,498182.8,987130.035,9919.86853639526,18578.2,28498.0685363953,14149943.8408681,5767144.80464945,0.0,0.0,5767144.80464945
328,2050,Solar,Reference,516761.0,1026342.24,9919.86853639526,18578.2,28498.0685363953,13914634.6725939,5929959.62537817,0.0,0.0,5929959.62537817
329,2010,Wind,Reference,35702.6,92888.168472,0.0,,,,,,,
330,2011,Wind,Reference,42019.2,118156.309632,18.5,6316.6,6335.1,,,,,
331,2012,Wind,Reference,49458.0,137774.16144,18.5,7438.8,7457.3,,,,,
332,2013,Wind,Reference,59175.6,167954.554944,8.69999999999999,9717.6,9726.3,,,,,
333,2014,Wind,Reference,60587.8,180454.70352,8.69999999999999,1412.2,1420.9,,,,,
334,2015,Wind,Reference,67106.2,189287.800464,58.1000000000001,6518.39999999999,6576.49999999999,,,,,
335,2016,Wind,Reference,74162.7,224134.51194,58.1000000000001,7056.5,7114.6,,,,,
336,2017,Wind,Reference,83355.6,252647.489376,25.85,9192.90000000001,9218.75000000001,,,,,
337,2018,Wind,Reference,89228.5,270448.01436,25.85,5872.89999999999,5898.74999999999,,,,,
338,2019,Wind,Reference,97564.8,294005.670912,61.2,8336.3,8397.5,12058810.0,4195286.4,0.0,0.0,4195286.4
339,2020,Wind,Reference,107387.7,332072.836956,61.2,9822.89999999999,9884.09999999999,13532231.4545455,4533518.19327272,0.0,0.0,4533518.19327272
340,2021,Wind,Reference,126790.1,410333.261978,67.35,19402.4,19469.75,25423802.8265134,5255469.55450276,0.0,0.0,5255469.55450276
341,2022,Wind,Reference,146192.5,488593.687,67.35,19402.4,19469.75,24116928.0922288,5946749.37012067,0.0,0.0,5946749.37012067
342,2023,Wind,Reference,154989.15,523813.7755,5.34999999999999,8796.65000000001,8802.00000000001,15011998.6327786,6330341.70467595,0.0,0.0,6330341.70467595
343,2024,Wind,Reference,163785.8,559033.864,5.34999999999999,8796.64999999998,8801.99999999998,14234907.4691256,6687976.38932167,0.0,0.0,6687976.38932167
344,2025,Wind,Reference,171232.45,589848.267,30.0,7446.65000000002,7476.65000000002,12112064.4836268,6970905.38740737,0.0,0.0,6970905.38740737
345,2026,Wind,Reference,178679.1,620662.67,30.0,7446.64999999999,7476.64999999999,11489075.3102387,7235597.65927132,0.0,0.0,7235597.65927132
346,2027,Wind,Reference,181973.1,634570.01,9.4,3294.0,3303.4,6547886.82397882,7313157.72149967,0.0,0.0,7313157.72149967
347,2028,Wind,Reference,185267.1,648477.35,9.4,3294.0,3303.4,6255811.58987392,7382676.97173599,0.0,0.0,7382676.97173599
348,2029,Wind,Reference,189689.9,666589.165,392.4,4422.80000000002,4815.20000000002,5781193.68929243,7442938.11222196,0.0,0.0,7442938.11222196
349,2030,Wind,Reference,194112.7,684700.98,392.4,4422.79999999999,4815.19999999999,5430138.55041329,7496206.48976942,0.0,0.0,7496206.48976942
350,2031,Wind,Reference,197032.1,697874.685,1079.05,2919.39999999999,3998.44999999999,5876679.31456339,7573754.88003002,0.0,0.0,7573754.88003002
351,2032,Wind,Reference,199951.5,711048.39,1079.05,2919.39999999999,3998.44999999999,5761505.27033119,7646477.87178865,0.0,0.0,7646477.87178865
352,2033,Wind,Reference,209875.45,747597.533,1132.3,9923.95000000001,11056.25,10609438.9877151,7950999.03637565,0.0,0.0,7950999.03637565
353,2034,Wind,Reference,219799.4,784146.676,1132.3,9923.94999999998,11056.25,10439984.6101268,8243899.14689834,0.0,0.0,8243899.14689834
354,2035,Wind,Reference,227705.5,817735.688,1252.9,7906.10000000001,9159.00000000001,8024076.52141624,8429322.93330355,0.0,0.0,8429322.93330355
355,2036,Wind,Reference,235611.6,851324.7,1252.9,7906.10000000001,9159.00000000001,7902218.00049653,8606578.70860967,0.0,0.0,8606578.70860967
356,2037,Wind,Reference,240802.2,874029.925,3923.3,5190.60000000001,9113.90000000001,5821503.625,8629873.93282301,0.0,0.0,8629873.93282301
357,2038,Wind,Reference,245992.8,896735.15,3923.3,5190.59999999998,9113.89999999998,5741756.99999999,8649331.92327807,0.0,0.0,8649331.92327807
358,2039,Wind,Reference,247567.05,917295.593,11313.65,1574.25,12887.9,8006607.875,8557265.9961334,0.0,0.0,8557265.9961334
359,2040,Wind,Reference,249141.3,937856.036,11313.65,1574.25,12887.9,7893838.75,8464829.29789405,0.0,0.0,8464829.29789405
360,2041,Wind,Reference,252364.2,954967.438,9856.5,3222.90000000002,13079.4,7896687.75000001,8419243.43752962,0.0,0.0,8419243.43752962
361,2042,Wind,Reference,255587.1,972078.84,9856.5,3222.89999999999,13079.4,7782243.0,8371386.09685978,0.0,0.0,8371386.09685978
362,2043,Wind,Reference,263425.9,1002378.135,2880.6,7838.80000000002,10719.4,6284248.25000001,8448923.87127428,0.0,0.0,8448923.87127428
363,2044,Wind,Reference,271264.7,1032677.43,2880.6,7838.79999999999,10719.4,6190453.49999999,8519273.49797052,0.0,0.0,8519273.49797052
364,2045,Wind,Reference,279520.5,1067367.94,8484.2243,8255.79999999999,16740.0243,9536437.65263375,8593480.48991055,0.0,0.0,8593480.48991055
365,2046,Wind,Reference,287776.3,1102058.45,8484.2243,8255.79999999999,16740.0243,9389759.51687324,8659945.62397831,0.0,0.0,8659945.62397831
366,2047,Wind,Reference,293593.7,1128067.84,6477.5,5817.39999999997,12294.9,6777563.62499998,8656161.48293639,0.0,0.0,8656161.48293639
367,2048,Wind,Reference,299411.1,1154077.23,6477.5,5817.40000000002,12294.9,6669983.25000001,8647050.74079656,0.0,0.0,8647050.74079656
368,2049,Wind,Reference,317504.7,1222981.885,16425.8499,18093.6,34519.4499,18431172.1041835,8934340.4922621,0.0,0.0,8934340.4922621
369,2050,Wind,Reference,335598.3,1291886.54,16425.8499,18093.6,34519.4499,18129056.6279677,9203560.37766179,0.0,0.0,9203560.37766179
370,2010,Batteries,95% by 2050,,,0.0,,,,,,,
371,2011,Batteries,95% by 2050,,,0.0,,,,,,,
372,2012,Batteries,95% by 2050,,,0.0,,,,,,,
373,2013,Batteries,95% by 2050,126.7,7.769244,0.0,,,,,,,
374,2014,Batteries,95% by 2050,155.1,23.097492,0.0,28.4,28.4,,,,,
375,2015,Batteries,95% by 2050,206.8,65.216448,0.0,51.7,51.7,,,,,
376,2016,Batteries,95% by 2050,423.0,140.80824,0.0,216.2,216.2,,,,,
377,2017,Batteries,95% by 2050,632.8,376.946304,0.0,209.8,209.8,,,,,
378,2018,Batteries,95% by 2050,713.6,325.059072,0.0,80.8000000000001,80.8000000000001,,,,,
379,2019,Batteries,95% by 2050,949.8,449.293392,0.0,236.2,236.2,338778.25872,34057.111572,0.0,0.0,34057.111572
380,2020,Batteries,95% by 2050,1210.3,551.315856,0.0,260.5,260.5,355135.543013104,41249.5727167714,0.0,0.0,41249.5727167714
381,2021,Batteries,95% by 2050,6365.25,4689.204928,0.0,5154.95,5154.95,6441455.40665,198845.15866875,0.0,0.0,198845.15866875
382,2022,Batteries,95% by 2050,11520.2,8827.094,0.0,5154.95,5154.95,5911881.20721,330294.444579,0.0,0.0,330294.444579
383,2023,Batteries,95% by 2050,12444.0,9567.6465,3.0,923.799999999999,926.799999999999,967676.143279999,324820.94106,0.0,0.0,324820.94106
384,2024,Batteries,95% by 2050,13367.8,10308.199,3.0,923.799999999999,926.799999999999,872464.867119999,314602.283413,0.0,0.0,314602.283413
385,2025,Batteries,95% by 2050,14156.35,11243.536,16.0,788.549999999999,804.549999999999,674729.582009999,296802.81269925,0.0,0.0,296802.81269925
386,2026,Batteries,95% by 2050,14944.9,12178.873,16.0,788.550000000001,804.550000000001,631813.919550001,293406.1228725,0.0,0.0,293406.1228725
387,2027,Batteries,95% by 2050,16785.15,14796.2395,57.6,1840.25,1897.85,1379776.42528,305078.829528,0.0,0.0,305078.829528
388,2028,Batteries,95% by 2050,18625.4,17413.606,57.6,1840.25,1897.85,1278542.82886,313688.800546,0.0,0.0,313688.800546
389,2029,Batteries,95% by 2050,25846.85,28643.485,58.7,7221.45,7280.15,4516156.60276,400844.839351,0.0,0.0,400844.839351
390,2030,Batteries,95% by 2050,33068.3,39873.364,58.7,7221.45,7280.15,4120633.33341,467924.2160505,0.0,0.0,467924.2160505
391,2031,Batteries,95% by 2050,38661.15,48394.677,281.3,5592.85,5874.15,3266799.26331,537516.98687775,0.0,0.0,537516.98687775
392,2032,Batteries,95% by 2050,44254.0,56915.99,281.3,5592.85,5874.15,3208774.40961,604347.44909,0.0,0.0,604347.44909
393,2033,Batteries,95% by 2050,48385.65,63502.95,249.05,4131.65,4380.7,2332390.69294,644042.27481825,0.0,0.0,644042.27481825
394,2034,Batteries,95% by 2050,52517.3,70089.91,249.05,4131.65,4380.7,2289118.13834,686067.8887315,0.0,0.0,686067.8887315
395,2035,Batteries,95% by 2050,57967.1,78664.87,688.5,5449.8,6138.3,3140847.79932,741515.722871,0.0,0.0,741515.722871
396,2036,Batteries,95% by 2050,63416.9,87239.83,688.5,5449.8,6138.3,3055960.02096,789304.494132,0.0,0.0,789304.494132
397,2037,Batteries,95% by 2050,66984.7,95867.89,4357.50893575597,3567.8,7925.30893575597,3867338.36236943,817168.460251,0.0,0.0,817168.460251
398,2038,Batteries,95% by 2050,70552.5,104495.95,4357.50893575597,3567.8,7925.30893575597,3789052.16070204,843270.28995,0.0,0.0,843270.28995
399,2039,Batteries,95% by 2050,76740.25,115731.57,927.461343909179,6187.75,7115.21134390918,3331464.33285339,898277.6245575,0.0,0.0,898277.6245575
400,2040,Batteries,95% by 2050,82928.0,126967.19,927.461343909179,6187.75,7115.21134390918,3233066.6521362,942037.2016,0.0,0.0,942037.2016
401,2041,Batteries,95% by 2050,90873.9,141261.06,800.369288436845,7945.89999999999,8746.26928843684,3887804.16140306,1009858.932225,0.0,0.0,1009858.932225
402,2042,Batteries,95% by 2050,98819.8,155554.93,800.369288436845,7945.90000000001,8746.26928843685,3792768.94856877,1071315.827879,0.0,0.0,1071315.827879
403,2043,Batteries,95% by 2050,115186.65,184921.12,1405.68997775959,16366.85,17772.5399777596,7531401.73072326,1220305.22403075,0.0,0.0,1220305.22403075
404,2044,Batteries,95% by 2050,131553.5,214287.31,1405.68997775959,16366.85,17772.5399777596,7285621.72086284,1348216.1782375,0.0,0.0,1348216.1782375
405,2045,Batteries,95% by 2050,158499.35,249284.135,3184.12113888394,26945.85,30129.9711388839,12053766.1238508,1585227.28654125,0.0,0.0,1585227.28654125
406,2046,Batteries,95% by 2050,185445.2,284280.96,3184.12113888394,26945.85,30129.9711388839,11756142.2689409,1808929.83953,0.0,0.0,1808929.83953
407,2047,Batteries,95% by 2050,199897.4,311337.745,3718.2150927421,14452.2,18170.4150927421,6910263.3710151,1900539.522805,0.0,0.0,1900539.522805
408,2048,Batteries,95% by 2050,214349.6,338394.53,3718.2150927421,14452.2,18170.4150927421,6658981.06661454,1963837.811012,0.0,0.0,1963837.811012
409,2049,Batteries,95% by 2050,228731.45,351151.49,2384.63940591155,14381.85,16766.4894059116,5978859.70289255,2039116.85994775,0.0,0.0,2039116.85994775
410,2050,Batteries,95% by 2050,243113.3,363908.45,2384.63940591155,14381.85,16766.4894059115,5796678.38230579,2101289.030225,0.0,0.0,2101289.030225
411,2010,Bio,95% by 2050,6227.7,35024.086584,0.0,,,,,,,
412,2011,Bio,95% by 2050,6372.5,35838.4302,102.15,144.8,246.95,,,,,
