,years,technology,scenario,capacity,generation,retirement,cap.change,investment,annual.capex,annual.FOM,annual.VOM,annual.Fuel,annual.opex
35,2044,Batteries,Reference,98988.7,134817.84,1545.43942845081,5373.45,6918.88942845081,2836308.77563084,1014478.2677975,0.0,0.0,1014478.2677975
36,2045,Batteries,Reference,104775.5,143186.72,4103.39248492812,5786.8,9890.19248492812,3956660.51532786,1047909.5438625,0.0,0.0,1047909.5438625
37,2046,Batteries,Reference,110562.3,151555.6,4103.39248492812,5786.8,9890.19248492812,3858965.19396174,1078482.7194075,0.0,0.0,1078482.7194075
38,2047,Batteries,Reference,115210.8,159751.85,6372.66183370328,4648.5,11021.1618337033,4191380.90884286,1095375.32181,0.0,0.0,1095375.32181
39,2048,Batteries,Reference,119859.3,167948.1,6372.66183370328,4648.5,11021.1618337033,4038967.05761221,1098132.3284085,0.0,0.0,1098132.3284085
40,2049,Batteries,Reference,131552.85,181539.02,1519.27776019583,11693.55,13212.8277601958,4711638.88540924,1172779.84470075,0.0,0.0,1172779.84470075
41,2050,Batteries,Reference,143246.4,195129.94,1519.27776019583,11693.55,13212.8277601958,4568070.9415325,1238114.4468,0.0,0.0,1238114.4468
42,2010,Bio,Reference,6227.7,35024.086584,0.0,,,,,,,
43,2011,Bio,Reference,6372.5,35838.4302,102.15,144.8,246.95,,,,,
44,2012,Bio,Reference,6442.5,35724.1779,102.15,70.0,172.15,,,,,
45,2013,Bio,Reference,7121.3,38864.352324,62.55,678.8,741.35,,,,,
46,2014,Bio,Reference,7108.6,39044.127672,62.55,-12.6999999999998,49.8500000000002,,,,,
47,2015,Bio,Reference,7632.2,41853.153072,156.05,523.599999999999,679.649999999999,,,,,
48,2016,Bio,Reference,7558.3,41514.113916,156.05,-73.8999999999996,82.1500000000004,,,,,
49,2017,Bio,Reference,7501.4,40610.179152,132.8,-56.9000000000005,75.8999999999995,,,,,
50,2018,Bio,Reference,7602.9,41159.667672,132.8,101.5,234.3,,,,,
51,2019,Bio,Reference,7290.6,39916.035,246.35,-312.299999999999,0.0,0.0,1092379.7027668,191297.203310276,127430.592371639,1411107.49844872
52,2020,Bio,Reference,6929.0,37936.275,246.35,-361.6,0.0,0.0,1038199.7312253,181809.223073122,121110.275497639,1341119.22979606
53,2021,Bio,Reference,6644.4,37747.2635,0.0,-284.6,0.0,0.0,995556.977075101,180903.387327075,120506.862673443,1296967.22707562
54,2022,Bio,Reference,6359.8,37558.252,0.0,-284.599999999999,0.0,0.0,952914.222924903,179997.551581027,119903.449849247,1252815.22435518
55,2023,Bio,Reference,6361.8,37514.676,8.0,2.0,10.0,42775.0103118544,953213.890909093,179788.71403162,119764.334942338,1252766.93988305
56,2024,Bio,Reference,6363.8,37471.1,8.0,2.0,10.0,42751.5285099087,953513.558893283,179579.876482213,119625.22003543,1252718.65541093
57,2025,Bio,Reference,6363.8,37446.796,0.0,0.0,0.0,0.0,953513.558893283,179463.399802371,119547.630337029,1252524.58903268
58,2026,Bio,Reference,6363.8,37422.492,0.0,0.0,0.0,0.0,953513.558893283,179346.923122529,119470.040638628,1252330.52265444
59,2027,Bio,Reference,6246.35,36615.654,117.45,-117.45,1.84741111297626e-13,7.81779828069717e-10,935915.556521741,175480.159980237,116894.237598874,1228289.95410085
60,2028,Bio,Reference,6128.9,35808.816,117.45,-117.450000000001,0.0,0.0,918317.5541502,171613.396837944,114318.434559119,1204249.38554726
61,2029,Bio,Reference,6041.25,35141.74,106.2,-87.6499999999996,18.5500000000004,77627.948139694,905184.604743085,168416.441699605,112188.816979695,1185789.86342238
62,2030,Bio,Reference,5953.6,34474.664,106.2,-87.6499999999996,18.5500000000004,77098.8729605637,892051.65533597,165219.486561265,110059.199400271,1167330.34129751
63,2031,Bio,Reference,5914.9,34220.364,38.7,-38.7000000000007,0.0,0.0,886253.079841899,164000.75632411,109247.35524691,1159501.19141292
64,2032,Bio,Reference,5876.2,33966.064,38.7,-38.6999999999998,1.84741111297626e-13,7.576698965025341e-10,880454.504347828,162782.026086956,108435.511093549,1151672.04152833
65,2033,Bio,Reference,5740.05,33076.4,134.0,-136.150000000001,0.0,0.0,860054.606324113,158518.320158103,105595.288848736,1124168.21533095
66,2034,Bio,Reference,5603.9,32186.736,134.0,-136.15,0.0,0.0,839654.708300397,154254.614229249,102755.066603924,1096664.38913357
67,2035,Bio,Reference,5521.25,31716.216,121.3,-82.6499999999996,38.6500000000004,155054.297431631,827270.928853757,151999.651778656,101252.947409903,1080523.52804232
68,2036,Bio,Reference,5438.6,31245.696,121.3,-82.6499999999996,38.6500000000004,153869.831939391,814887.149407116,149744.689328063,99750.8282158822,1064382.66695106
69,2037,Bio,Reference,4986.35,28552.901,399.55,-452.25,0.0,0.0,747124.726482215,136839.495899209,91154.1712086071,975118.393590032
70,2038,Bio,Reference,4534.1,25860.106,399.55,-452.25,0.0,0.0,679362.303557314,123934.302470356,82557.5142013321,885854.120229002
71,2039,Bio,Reference,4040.45,22924.058,477.65,-493.65,0.0,0.0,605396.753359685,109863.321442688,73184.2802147508,788444.355017124
72,2040,Bio,Reference,3546.8,19988.01,477.65,-493.65,0.0,0.0,531431.203162057,95792.3404150196,63811.0462281696,691034.589805246
73,2041,Bio,Reference,3336.65,18844.222,235.2,-210.15,25.0499999999999,96195.7563957262,499943.589723321,90310.7477272726,60159.5417040462,650413.87915464
74,2042,Bio,Reference,3126.5,17700.434,235.2,-210.15,25.0499999999999,95528.5636523939,468455.976284586,84829.1550395256,56508.0371799227,609793.168504034
75,2043,Bio,Reference,3009.0,17018.5545,106.3,-117.5,0.0,0.0,450850.48221344,81561.2542737153,54331.1599271826,586742.896414338
76,2044,Bio,Reference,2891.5,16336.675,106.3,-117.5,0.0,0.0,433244.988142293,78293.353507905,52154.2826744425,563692.624324641
77,2045,Bio,Reference,2766.3,15598.5335,108.15,-125.2,0.0,0.0,414485.772332017,74755.8176630434,49797.7908886454,539039.380883706
78,2046,Bio,Reference,2641.1,14860.392,108.15,-125.2,0.0,0.0,395726.55652174,71218.2818181817,47441.2991028483,514386.13744277
79,2047,Bio,Reference,2612.4,14714.2055,34.8,-28.7000000000003,6.09999999999972,22458.7832373197,391426.320948617,70517.6844614624,46974.6036434486,508918.609053528
80,2048,Bio,Reference,2583.7,14568.019,34.8,-28.6999999999998,6.10000000000018,22277.8145604754,387126.085375495,69817.087104743,46507.908184049,503451.080664287
81,2049,Bio,Reference,2518.1,14100.8965,72.1,-65.5999999999999,6.50000000000009,23553.2991998739,377296.975494072,67578.407139328,45016.6353939254,489892.018027325
82,2050,Bio,Reference,2452.5,13633.774,72.1,-65.5999999999999,6.50000000000009,23136.9603686524,367467.865612649,65339.727173913,43525.3626038018,476332.955390364
83,2010,Coal,Reference,313393.9,1842116.808444,0.0,,,,,,,
84,2011,Coal,Reference,314056.1,1727710.541808,6788.05,662.199999999953,7450.24999999995,,,,,
85,2012,Coal,Reference,304974.9,1501428.029688,6788.05,-9081.19999999995,0.0,,,,,
86,2013,Coal,Reference,302604.4,1574583.839136,5734.8,-2370.5,3364.3,,,,,
87,2014,Coal,Reference,299064.7,1584983.09706,5734.8,-3539.70000000001,2195.09999999999,,,,,
88,2015,Coal,Reference,286082.7,1360803.857436,12428.65,-12982.0,0.0,,,,,
89,2016,Coal,Reference,269477.1,1246407.041088,12428.65,-16605.6,0.0,,,,,
90,2017,Coal,Reference,259930.2,1209080.921112,9514.2,-9546.89999999997,0.0,,,,,
91,2018,Coal,Reference,246866.8,1159128.498048,9514.2,-13063.4,0.0,,,,,
92,2019,Coal,Reference,235089.3,978206.5773,10451.15,-11777.5,0.0,0.0,16879411.74,7688703.697578,17001914.7525087,41570030.1900867
93,2020,Coal,Reference,220623.2,782726.98896,10451.15,-14466.1,0.0,0.0,15840745.76,6152234.1332256,13673575.251466,35666555.1446915
94,2021,Coal,Reference,214477.35,893168.14448,5826.15,-6145.85000000001,0.0,0.0,15399473.73,7020301.6156128,15351220.2048067,37770995.5504195
95,2022,Coal,Reference,208331.5,1003609.3,5826.15,-6145.85000000001,0.0,0.0,14958201.7,7888369.098,17011148.1833063,39857718.9813063
96,2023,Coal,Reference,194225.95,865221.25,14114.1423643484,-14105.55,8.59236434841114,26400.4400614494,13945423.21,6800639.025,14504472.811858,35250535.046858
97,2024,Coal,Reference,180120.4,726833.2,14114.1423643484,-14105.55,8.59236434838203,26400.44006136,12932644.72,5712908.952,12144358.1656621,30789911.8376621
98,2025,Coal,Reference,175701.2,710311.15,4289.0,-4419.19999999998,0.0,0.0,12615346.16,5583045.639,11765172.9769122,29963564.7759122
99,2026,Coal,Reference,171282.0,693789.1,4289.0,-4419.20000000001,0.0,0.0,12298047.6,5453182.326,11538483.780764,29289713.706764
100,2027,Coal,Reference,169032.65,718575.1,2494.70968144821,-2249.35000000001,245.359681448204,746240.379579043,12136544.27,5648000.286,12036058.6138878,29820603.1698878
101,2028,Coal,Reference,166783.3,743361.1,2494.70968144821,-2249.35000000001,245.359681448204,742127.243628609,11975040.94,5842818.246,12343134.2413001,30160993.4273001
102,2029,Coal,Reference,163482.0,719126.02,3367.9659729623,-3301.29999999999,66.6659729623116,200523.689376667,11738007.6,5652330.5172,11948930.1795228,29339268.2967228
103,2030,Coal,Reference,160180.7,694890.94,3367.9659729623,-3301.29999999999,66.6659729623116,199166.642115757,11500974.26,5461842.7884,11534750.4192738,28497567.4676738
104,2031,Coal,Reference,158012.85,675270.27,1846.45,-2167.85000000001,0.0,0.0,11345322.63,5307624.3222,11199725.7766057,27852672.7288057
105,2032,Coal,Reference,155845.0,655649.6,1846.45,-2167.85000000001,0.0,0.0,11189671.0,5153405.856,10857749.700312,27200826.556312
106,2033,Coal,Reference,153854.35,636267.68,1868.95,-1990.64999999999,0.0,0.0,11046742.33,5001063.9648,10573389.3607683,26621195.6555683
107,2034,Coal,Reference,151863.7,616885.76,1868.95,-1990.64999999999,0.0,0.0,10903813.66,4848722.0736,10255496.6578396,26008032.3914396
108,2035,Coal,Reference,151421.45,607849.68,632.0,-442.25,189.75,547116.858083741,10872060.11,4777698.4848,10077057.047274,25726815.642074
109,2036,Coal,Reference,150979.2,598813.6,632.0,-442.25,189.75,543027.114127966,10840306.56,4706674.896,9927387.16244897,25474368.618449
110,2037,Coal,Reference,149121.15,572132.85,1710.55,-1858.04999999999,0.0,0.0,10706898.57,4496964.201,9510612.59443839,24714475.3654384
111,2038,Coal,Reference,147263.1,545452.1,1710.55,-1858.05000000002,0.0,0.0,10573490.58,4287253.506,9053160.40951754,23913904.4955175
112,2039,Coal,Reference,146314.9,531305.73,854.85,-948.199999999983,0.0,0.0,10505409.82,4176063.0378,8812220.76395499,23493693.621755
113,2040,Coal,Reference,145366.7,517159.36,854.85,-948.200000000012,0.0,0.0,10437329.06,4064872.5696,8548276.09376239,23050477.7233624
114,2041,Coal,Reference,142204.3,504521.345,3051.25,-3162.40000000002,0.0,0.0,10210268.74,3965537.7717,8338642.37031225,22514448.8820122
115,2042,Coal,Reference,139041.9,491883.33,3051.25,-3162.39999999999,0.0,0.0,9983208.42,3866202.9738,8138503.27768649,21987914.6714865
116,2043,Coal,Reference,135565.0,481026.625,3400.0,-3476.89999999999,0.0,0.0,9733567.0,3780869.2725,7966064.46061317,21480500.7331132
117,2044,Coal,Reference,132088.1,470169.92,3400.0,-3476.89999999999,0.0,0.0,9483925.58,3695535.5712,7787923.13733153,20967384.2885315
118,2045,Coal,Reference,124024.05,448319.79,8145.31440479112,-8064.05,81.2644047911172,218453.26179631,8904926.79,3523793.5494,7435944.00943166,19864664.3488317
119,2046,Coal,Reference,115960.0,426469.66,8145.31440479112,-8064.05,81.2644047911172,216799.050014333,8325928.0,3352051.5276,7064684.55446621,18742664.0820662
120,2047,Coal,Reference,107191.7,409968.51,8800.55,-8768.3,32.2499999999964,85380.8140332452,7696364.06,3222352.4886,6798048.57457999,17716765.12318
121,2048,Coal,Reference,98423.4,393467.36,8800.55,-8768.3,32.2499999999964,84685.7192107219,7066800.12,3092653.4496,6522201.59175104,16681655.161351
122,2049,Coal,Reference,91446.75,351033.47,7082.85,-6976.64999999999,106.200000000006,276710.244014919,6565876.65,2759123.0742,5811996.00228835,15136995.7264883
123,2050,Coal,Reference,84470.1,308599.58,7082.85,-6976.64999999999,106.200000000006,271877.987915393,6064953.18,2425592.6988,5108182.15142843,13598728.0302284
124,2010,Gas,Reference,431478.3,980069.641836,0.0,,,,,,,
125,2011,Gas,Reference,438066.9,1011801.481272,4697.95,6588.60000000003,11286.55,,,,,
126,2012,Gas,Reference,436930.3,1204940.127804,4697.95,-1136.60000000001,7454.25,,,,,
127,2013,Gas,Reference,441758.1,1128297.34692,5992.2,4827.79999999999,10820.0,,,,,
128,2014,Gas,Reference,445052.9,1136264.407488,5992.2,3294.80000000002,9287.00000000002,,,,,
129,2015,Gas,Reference,453733.0,1338951.235896,8280.55,8680.09999999998,16960.65,,,,,
130,2016,Gas,Reference,460494.3,1374244.695984,8280.55,6761.29999999999,15041.85,,,,,
131,2017,Gas,Reference,465311.5,1289393.597124,9394.95,4817.20000000001,14212.15,,,,,
132,2018,Gas,Reference,475091.2,1463548.395096,9394.95,9779.69999999998,19174.65,,,,,
133,2019,Gas,Reference,484539.3,1575948.596328,3288.55,9448.10000000001,12849.2,13539171.4766197,11834688.97,3501373.1017014,30389785.1372953,45725847.2089967
134,2020,Gas,Reference,492414.6,1610604.054228,3288.55,7875.30000000005,11163.85,11312245.4774271,12046987.7,3573546.40459032,28796889.4305054,44417423.5350958
