"","years","technology","scenario","capacity","generation","retirement","cap.change","investment","CAPEX","FOM","VOM","Fuel","annual.capex","annual.FOM","annual.VOM","annual.Fuel","annual.opex"
"105",2012,"Gas CC","95% by 2035",217938.2,996570.365904,34.7500000000001,7419.5,7454.25,NA,NA,NA,NA,NA,NA,NA,NA,NA
"106",2012,"Gas CC CCS","Reference",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"107",2012,"Gas CC CCS","95% by 2050",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"108",2012,"Gas CC CCS","95% by 2035",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"109",2012,"Gas CT","Reference",218992.1,208369.7619,4663.2,-8556.10000000001,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"110",2012,"Gas CT","95% by 2050",218992.1,208369.7619,4663.2,-8556.10000000001,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"111",2012,"Gas CT","95% by 2035",218992.1,208369.7619,4663.2,-8556.10000000001,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"112",2012,"Geothermal","Reference",2531.8,15147.961944,0,123.9,123.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"113",2012,"Geothermal","95% by 2050",2531.8,15147.961944,0,123.9,123.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"114",2012,"Geothermal","95% by 2035",2531.8,15147.961944,0,123.9,123.9,NA,NA,NA,NA,NA,NA,NA,NA,NA
"115",2012,"Hydro","Reference",78296.6,271607.773536,0,-268.099999999991,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"116",2012,"Hydro","95% by 2050",78296.6,271607.773536,0,-268.099999999991,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"117",2012,"Hydro","95% by 2035",78296.6,271607.773536,0,-268.099999999991,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"118",2012,"Nuclear","Reference",101166,767461.46256,0,-99.1000000000058,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"119",2012,"Nuclear","95% by 2050",101166,767461.46256,0,-99.1000000000058,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"120",2012,"Nuclear","95% by 2035",101166,767461.46256,0,-99.1000000000058,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"121",2012,"PHS","Reference",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"122",2012,"PHS","95% by 2050",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"123",2012,"PHS","95% by 2035",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"124",2012,"PV dist","Reference",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"125",2012,"PV dist","95% by 2050",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"126",2012,"PV dist","95% by 2035",NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"127",2012,"PV utility","Reference",1527.1,2728.988784,0,990.1,990.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"128",2012,"PV utility","95% by 2050",1527.1,2728.988784,0,990.1,990.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"129",2012,"PV utility","95% by 2035",1527.1,2728.988784,0,990.1,990.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"130",2012,"Wind off","Reference",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"131",2012,"Wind off","95% by 2050",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"132",2012,"Wind off","95% by 2035",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"133",2012,"Wind on","95% by 2035",49458,137774.16144,18.5,7438.8,7457.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"134",2012,"Wind on","Reference",49458,137774.16144,18.5,7438.8,7457.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"135",2012,"Wind on","95% by 2050",49458,137774.16144,18.5,7438.8,7457.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"136",2013,"Batteries","Reference",126.7,7.769244,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"137",2013,"Batteries","95% by 2050",126.7,7.769244,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"138",2013,"Batteries","95% by 2035",126.7,7.769244,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"139",2013,"Biomass","Reference",7121.3,38864.352324,62.55,678.8,741.35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"140",2013,"Biomass","95% by 2050",7121.3,38864.352324,62.55,678.8,741.35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"141",2013,"Biomass","95% by 2035",7121.3,38864.352324,62.55,678.8,741.35,NA,NA,NA,NA,NA,NA,NA,NA,NA
"142",2013,"Coal","Reference",302604.4,1574583.839136,5734.8,-2370.5,3364.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"143",2013,"Coal","95% by 2050",302604.4,1574583.839136,5734.8,-2370.5,3364.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"144",2013,"Coal","95% by 2035",302604.4,1574583.839136,5734.8,-2370.5,3364.3,NA,NA,NA,NA,NA,NA,NA,NA,NA
"145",2013,"CSP","Reference",552.1,841.532904,0,76.1,76.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"146",2013,"CSP","95% by 2050",552.1,841.532904,0,76.1,76.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"147",2013,"CSP","95% by 2035",552.1,841.532904,0,76.1,76.1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"148",2013,"Gas CC","Reference",219902.9,940058.509152,803.899999999999,1964.69999999998,2768.59999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA
"149",2013,"Gas CC","95% by 2050",219902.9,940058.509152,803.899999999999,1964.69999999998,2768.59999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150",2013,"Gas CC","95% by 2035",219902.9,940058.509152,803.899999999999,1964.69999999998,2768.59999999998,NA,NA,NA,NA,NA,NA,NA,NA,NA
"151",2013,"Gas CC CCS","Reference",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"152",2013,"Gas CC CCS","95% by 2035",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"153",2013,"Gas CC CCS","95% by 2050",0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"154",2013,"Gas CT","Reference",221855.2,188238.837768,5188.3,2863.10000000001,8051.40000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"155",2013,"Gas CT","95% by 2050",221855.2,188238.837768,5188.3,2863.10000000001,8051.40000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"156",2013,"Gas CT","95% by 2035",221855.2,188238.837768,5188.3,2863.10000000001,8051.40000000001,NA,NA,NA,NA,NA,NA,NA,NA,NA
"157",2013,"Geothermal","Reference",2509.5,15783.95196,0,-22.3000000000002,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"158",2013,"Geothermal","95% by 2050",2509.5,15783.95196,0,-22.3000000000002,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"159",2013,"Geothermal","95% by 2035",2509.5,15783.95196,0,-22.3000000000002,0,NA,NA,NA,NA,NA,NA,NA,NA,NA
"160",2013,"Hydro","Reference",78873.5,268081.56168,0,576.899999999994,576.899999999994,NA,NA,NA,NA,NA,NA,NA,NA,NA
"161",2013,"Hydro","95% by 2050",78873.5,268081.56168,0,576.899999999994,576.899999999994,NA,NA,NA,NA,NA,NA,NA,NA,NA
"162",2013,"Hydro","95% by 2035",78873.5,268081.56168,0,576.899999999994,576.899999999994,NA,NA,NA,NA,NA,NA,NA,NA,NA
