"","years","technology","scenario","capacity","generation","retirement","cap.change","investment","CAPEX","Fixed.O.M","Variable.O.M","Fuel","annual.capex","annual.FOM","annual.VOM","annual.Fuel","annual.opex"
"1498",2043,"Gas CC","Reference",360368.7,1443786.75,0,7692.79999999999,7692.79999999999,942.95520747733,27.3,1.74,1.10123714518663,7253965.82008159,9838065.51,2512188.945,1589951.59882828,13940206.0538283
"1499",2043,"Gas CC","95% by 2035",314683.35,466455.59,0,4948.84999999998,4948.84999999998,942.95520747733,27.3,1.74,1.10123714518663,4666543.87852416,8590855.455,811632.7266,513678.222287945,9916166.40388795
"1500",2043,"Gas CC","95% by 2050",328306.7,1215473.9,0,0,0,942.95520747733,27.3,1.74,1.10123714518663,0,8962772.91,2114924.586,1338525.00768486,12416222.5036849
"1501",2043,"Gas CC CCS","95% by 2050",0,0,0,0,0,1456.09827387197,55.8,4.91,1.10123714518663,0,0,0,0,0
"1502",2043,"Gas CC CCS","95% by 2035",388.9,1912.8534,0,0,0,1456.09827387197,55.8,4.91,1.10123714518663,0,21700.62,9392.110194,2106.50521737654,33199.2354113765
"1503",2043,"Gas CC CCS","Reference",0,0,0,0,0,1456.09827387197,55.8,4.91,1.10123714518663,0,0,0,0,0
"1504",2043,"Gas CT","95% by 2050",145094.45,18641.12535,2473.55,-2738.04999999999,0,787.257952289213,20.9,4.94,1.10123714518663,0,3032474.005,92087.159229,20528.2996635001,3145089.4638925
"1505",2043,"Gas CT","Reference",151868.95,10043.838,2546.9,-544.25,2002.65,787.257952289213,20.9,4.94,1.10123714518663,1576602.13815199,3174061.055,49616.55972,11060.647485837,3234738.26220584
"1506",2043,"Gas CT","95% by 2035",146120.3,1072.65,2300.55,-1443.90000000002,856.649999999977,787.257952289213,20.9,4.94,1.10123714518663,674404.524828536,3053914.27,5298.891,1181.24202378444,3060394.40302378
"1507",2043,"Geothermal","95% by 2035",7469.75,55321.903,42.7,54.0500000000002,96.7500000000002,4479.56738172208,126.52,0,0,433398.144181612,945072.77,0,0,945072.77
"1508",2043,"Geothermal","95% by 2050",7266.9,53913.403,42.7,256.9,299.6,4479.56738172208,126.52,0,0,1342078.38756393,919408.188,0,0,919408.188
"1509",2043,"Geothermal","Reference",7052.85,52477.99,42.7,42.8500000000004,85.5500000000004,4479.56738172208,126.52,0,0,383226.989506326,892326.582,0,0,892326.582
"1510",2043,"Hydro","Reference",79526.65,282506.04,0,14.5499999999884,14.5499999999884,2184.40712784887,54.65639,0,0,31783.1237101756,4346639.5977935,0,0,4346639.5977935
"1511",2043,"Hydro","95% by 2035",80004.25,234154.145,0,4.05000000000291,4.05000000000291,2184.40712784887,54.65639,0,0,8846.84886779428,4372743.4896575,0,0,4372743.4896575
"1512",2043,"Hydro","95% by 2050",79643.75,272865.55,0,14.5500000000029,14.5500000000029,2184.40712784887,54.65639,0,0,31783.1237102074,4353039.8610625,0,0,4353039.8610625
"1513",2043,"Nuclear","95% by 2035",92091.6,731423.48,0,0,0,6234.23669218729,144.97233201581,2.35177865612648,7.48330055335968,0,13350734.0110672,1720146.12885375,5473461.73262426,20544341.8725452
"1514",2043,"Nuclear","95% by 2050",92091.6,733230.45,0,0,0,6234.23669218729,144.97233201581,2.35177865612648,7.48330055335968,0,13350734.0110672,1724395.72233201,5486983.83222517,20562113.5656243
"1515",2043,"Nuclear","Reference",92091.6,735326.87,0,0,0,6234.23669218729,144.97233201581,2.35177865612648,7.48330055335968,0,13350734.0110672,1729326.03814229,5502671.97317124,20582732.0223807
"1516",2043,"PHS","95% by 2050",36774.6,36191.416,0,322.200000000004,322.200000000004,0,17.6,0.5063,0,0,647232.96,18323.7139208,0,665556.6739208
"1517",2043,"PHS","Reference",36255.15,25344.076,0,617.75,617.75,0,17.6,0.5063,0,0,638090.64,12831.7056788,0,650922.3456788
"1518",2043,"PHS","95% by 2035",48160.8,40340.354,0,324.600000000006,324.600000000006,0,17.6,0.5063,0,0,847630.08,20424.3212302,0,868054.4012302
"1519",2043,"PV dist","95% by 2050",121731.5,167288.83,436.618,3241.7,3678.318,610.992844743289,9.6011480526702,0,0,2247425.97869044,1168762.15417362,0,0,1168762.15417362
"1520",2043,"PV dist","95% by 2035",121731.5,163295.35,436.618,3241.7,3678.318,610.992844743289,9.6011480526702,0,0,2247425.97869044,1168762.15417362,0,0,1168762.15417362
"1521",2043,"PV dist","Reference",121731.5,168517.09,436.618,3241.7,3678.318,610.992844743289,9.6011480526702,0,0,2247425.97869044,1168762.15417362,0,0,1168762.15417362
"1522",2043,"PV utility","95% by 2035",625160.3,1307519.75,3611.7051348113,6185.60000000009,9797.30513481139,535.682007806724,13.3080388207572,0,0,5248240.08571089,8319657.54159622,0,0,8319657.54159622
"1523",2043,"PV utility","Reference",294997,658184.97,2847.24176106848,8064.79999999999,10912.0417610685,535.682007806724,13.3080388207572,0,0,5845384.43983998,3925831.52800691,0,0,3925831.52800691
"1524",2043,"PV utility","95% by 2050",422636.1,918478.69,3146.06161955563,41357.2,44503.2616195556,535.682007806724,13.3080388207572,0,0,23839596.5383115,5624457.62585342,0,0,5624457.62585342
"1525",2043,"Wind off","95% by 2035",31331,112416.865,0,0,0,1677.83474270094,64.6480683145854,0,0,0,2025488.62836428,0,0,2025488.62836428
