"","technology","years","retirement","scenario"
"121","Wind on",2044,2880.6,"95% by 2035"
"122","Batteries",2046,2580.56021697278,"95% by 2035"
"123","Biomass",2046,108.15,"95% by 2035"
"124","Coal",2046,2062.78600383529,"95% by 2035"
"125","Gas CC",2046,5253.6,"95% by 2035"
"126","Gas CT",2046,5794.8,"95% by 2035"
"127","Geothermal",2046,25,"95% by 2035"
"128","PV dist",2046,567.6835,"95% by 2035"
"129","PV utility",2046,6197.47621499217,"95% by 2035"
"130","Wind off",2046,14.6499999999999,"95% by 2035"
"131","Wind on",2046,8469.5743,"95% by 2035"
"132","Batteries",2048,6483.63015581637,"95% by 2035"
"133","Biomass",2048,34.8,"95% by 2035"
"134","Coal",2048,1879.60796147577,"95% by 2035"
"135","Gas CC",2048,772.900000000001,"95% by 2035"
"136","Gas CT",2048,2937.15,"95% by 2035"
"137","Geothermal",2048,30.15,"95% by 2035"
"138","PV dist",2048,688.2,"95% by 2035"
"139","PV utility",2048,5246.00132522704,"95% by 2035"
"140","Wind on",2048,6477.5,"95% by 2035"
"141","Batteries",2050,12295.0799628174,"95% by 2035"
"142","Biomass",2050,72.1,"95% by 2035"
"143","Coal",2050,1049.3,"95% by 2035"
"144","Gas CC",2050,1961.6,"95% by 2035"
"145","Gas CT",2050,12511.35,"95% by 2035"
"146","Geothermal",2050,10,"95% by 2035"
"147","Nuclear",2050,900.05,"95% by 2035"
"148","PV dist",2050,568.8,"95% by 2035"
"149","PV utility",2050,9866.96502653141,"95% by 2035"
"150","Wind off",2050,6.35000000000014,"95% by 2035"
"151","Wind on",2050,16419.4999,"95% by 2035"
"152","Biomass",2012,102.15,"95% by 2050"
"153","Coal",2012,6788.05,"95% by 2050"
"154","Gas CC",2012,34.7500000000001,"95% by 2050"
"155","Gas CT",2012,4663.2,"95% by 2050"
"156","Wind on",2012,18.5,"95% by 2050"
"157","Biomass",2014,62.55,"95% by 2050"
"158","Coal",2014,5734.8,"95% by 2050"
"159","Gas CC",2014,803.899999999999,"95% by 2050"
