"","technology","years","CAPEX","FOM","VOM","Fuel"
"45","Gas CC",2031,995.585265569088,27.3,1.74,22.6198506876228
"46","Gas CC",2032,991.199427394775,27.3,1.74,22.7783041257367
"47","Gas CC",2033,984.620670133306,27.3,1.74,23.1983968565815
"48","Gas CC",2034,981.331291502571,27.3,1.74,23.5361320235756
"49","Gas CC",2035,976.945453328257,27.3,1.74,23.5029626719057
"50","Gas CC",2036,971.463155610366,27.3,1.74,23.4843536345776
"51","Gas CC",2037,967.077317436053,27.3,1.74,23.7268935166994
"52","Gas CC",2038,963.787938805318,27.3,1.74,23.8596023575638
"53","Gas CC",2039,959.402100631005,27.3,1.74,23.8962609037328
"54","Gas CC",2040,955.016262456692,27.3,1.74,23.9348117878193
"55","Gas CC",2041,950.630424282378,27.3,1.74,23.9101170923379
"56","Gas CC",2042,946.244586108065,27.3,1.74,23.9686286836935
"57","Gas CC",2043,942.95520747733,27.3,1.74,24.0299504911591
"58","Gas CC",2044,938.569369303017,27.3,1.74,24.1348526522593
"59","Gas CC",2045,935.279990672282,27.3,1.74,24.2165060903733
"60","Gas CC",2046,931.990612041548,27.3,1.74,24.4863371316306
"61","Gas CC",2047,927.604773867234,27.3,1.74,24.8296550098232
"62","Gas CC",2048,922.122476149343,27.3,1.74,25.0570436149312
"63","Gas CC",2049,917.73663797503,27.3,1.74,25.2013768172888
"64","Gas CC",2050,906.772042539247,27.3,1.74,25.5576078585462
"65","Gas CC CCS",2019,2669.87898861314,65.1,5.73,21.1460596267191
"66","Gas CC CCS",2020,2571.19762969109,65.1,5.73,19.6106719155206
"67","Gas CC CCS",2021,2473.61273031262,65.1,5.73,20.8390826817289
"68","Gas CC CCS",2022,2380.41366910847,65.1,5.73,20.7964915815324
"69","Gas CC CCS",2023,2342.03758508323,64.8,5.71,21.3151443713163
"70","Gas CC CCS",2024,2320.10839421166,64.6,5.69,22.4175718762279
"71","Gas CC CCS",2025,2303.66150105799,64.4,5.67,24.4628988801572
"72","Gas CC CCS",2026,2277.34647201211,64.2,5.65,26.008124410609
"73","Gas CC CCS",2027,2246.64560479192,63.9,5.63,26.9803450491159
"74","Gas CC CCS",2028,2219.23411620246,63.7,5.61,27.4608818369352
"75","Gas CC CCS",2029,2192.91908715658,63.5,5.59,27.3811807072692
"76","Gas CC CCS",2030,2166.6040581107,63.3,5.57,26.8588146954813
"77","Gas CC CCS",2031,2141.3854886084,63.1,5.55,26.6136680746562
"78","Gas CC CCS",2032,2113.97400001895,62.8,5.53,26.8000984479371
