"Dim1","Dim2","Dim3","Dim4","Val"
"p5","p10","2034","DC",2962.66874217269
"p5","p10","2036","DC",2966.67742933374
"p5","p10","2038","DC",3205.37664152221
"p5","p10","2040","DC",3255.30959106178
"p5","p10","2042","DC",3649.96390077122
"p5","p10","2044","DC",4249.97589733525
"p5","p10","2046","DC",4573.25804765791
"p5","p10","2048","DC",4639.03417670356
"p5","p10","2050","DC",4639.56422430774
"p5","p14","2010","AC",352
"p5","p14","2012","AC",352
"p5","p14","2014","AC",352
"p5","p14","2016","AC",352
"p5","p14","2018","AC",352
"p5","p14","2020","AC",352
"p5","p14","2022","AC",352
"p5","p14","2024","AC",352
"p5","p14","2026","AC",352
"p5","p14","2028","AC",352
"p5","p14","2030","AC",352
"p5","p14","2032","AC",352
"p5","p14","2034","AC",352
"p5","p14","2036","AC",352
"p5","p14","2038","AC",352
"p5","p14","2040","AC",352
"p5","p14","2042","AC",352
"p5","p14","2044","AC",352
"p5","p14","2046","AC",352
"p5","p14","2048","AC",352
"p5","p14","2050","AC",352
"p5","p15","2010","AC",478
"p5","p15","2012","AC",478
"p5","p15","2014","AC",478
"p5","p15","2016","AC",478
"p5","p15","2018","AC",478
"p5","p15","2020","AC",478
"p5","p15","2022","AC",478
"p5","p15","2024","AC",478
"p5","p15","2026","AC",478
"p5","p15","2028","AC",478
"p5","p15","2030","AC",478
"p5","p15","2032","AC",478
"p5","p15","2034","AC",478
"p5","p15","2036","AC",478
"p5","p15","2038","AC",478
"p5","p15","2040","AC",478
"p5","p15","2042","AC",478
"p5","p15","2044","AC",478
"p5","p15","2046","AC",478
"p5","p15","2048","AC",478
"p5","p15","2050","AC",478
"p6","p7","2010","AC",797
"p6","p7","2012","AC",797
"p6","p7","2014","AC",797
"p6","p7","2016","AC",797
"p6","p7","2018","AC",797
"p6","p7","2020","AC",797
"p6","p7","2022","AC",797
"p6","p7","2024","AC",797
"p6","p7","2026","AC",797
"p6","p7","2028","AC",797
"p6","p7","2030","AC",797
"p6","p7","2032","AC",797
"p6","p7","2034","AC",797
"p6","p7","2036","AC",797
"p6","p7","2038","AC",797
"p6","p7","2040","AC",797
"p6","p7","2042","AC",797
"p6","p7","2044","AC",797
"p6","p7","2046","AC",797
"p6","p7","2048","AC",797
"p6","p7","2050","AC",797
"p6","p8","2010","AC",1939
"p6","p8","2012","AC",1939
"p6","p8","2014","AC",1939
"p6","p8","2016","AC",1939
"p6","p8","2018","AC",1939
"p6","p8","2020","AC",1939
"p6","p8","2022","AC",1939
"p6","p8","2024","AC",1939
"p6","p8","2026","AC",1939.103
"p6","p8","2028","AC",2067.22990090499
"p6","p8","2030","AC",2071.55033886366
"p6","p8","2032","AC",2122.92255201628
"p6","p8","2034","AC",2122.97605047863
"p6","p8","2036","AC",2327.49429076621
"p6","p8","2038","AC",2503.61981588649
"p6","p8","2040","AC",3027.36500962499
"p6","p8","2042","AC",3113.73556237654
"p6","p8","2044","AC",3442.29872562092
"p6","p8","2046","AC",4045.73549752897
"p6","p8","2048","AC",4211.41669367326
"p6","p8","2050","AC",4357.94180282126
"p6","p9","2010","AC",2366.881
"p6","p9","2012","AC",2366.881
"p6","p9","2014","AC",2366.881
"p6","p9","2016","AC",2366.881
"p6","p9","2018","AC",2366.881
"p6","p9","2020","AC",2366.881
"p6","p9","2022","AC",2366.881
"p6","p9","2024","AC",2366.881
"p6","p9","2026","AC",2366.881
"p6","p9","2028","AC",2366.881
"p6","p9","2030","AC",2366.881
"p6","p9","2032","AC",2366.881
"p6","p9","2034","AC",2366.881
"p6","p9","2036","AC",2366.881
"p6","p9","2038","AC",2366.881
"p6","p9","2040","AC",2366.881
"p6","p9","2042","AC",2366.881
"p6","p9","2044","AC",2366.881
"p6","p9","2046","AC",2366.881
"p6","p9","2048","AC",2366.881
"p6","p9","2050","AC",2366.881
"p7","p8","2010","AC",50
"p7","p8","2012","AC",50
"p7","p8","2014","AC",50
"p7","p8","2016","AC",50
"p7","p8","2018","AC",50
"p7","p8","2020","AC",50
"p7","p8","2022","AC",50
"p7","p8","2024","AC",50
"p7","p8","2026","AC",50
"p7","p8","2028","AC",50
"p7","p8","2030","AC",50
"p7","p8","2032","AC",50
"p7","p8","2034","AC",50
"p7","p8","2036","AC",50
"p7","p8","2038","AC",50
"p7","p8","2040","AC",50
"p7","p8","2042","AC",50
"p7","p8","2044","AC",50
"p7","p8","2046","AC",50
"p7","p8","2048","AC",50
"p7","p8","2050","AC",50
"p7","p12","2010","AC",1
"p7","p12","2012","AC",1
"p7","p12","2014","AC",1
"p7","p12","2016","AC",1
"p7","p12","2018","AC",1
"p7","p12","2020","AC",1
"p7","p12","2022","AC",1
"p7","p12","2024","AC",1
"p7","p12","2026","AC",1
"p7","p12","2028","AC",1
"p7","p12","2030","AC",1
"p7","p12","2032","AC",1
"p7","p12","2034","AC",1
"p7","p12","2036","AC",1
"p7","p12","2038","AC",1
"p7","p12","2040","AC",1
"p7","p12","2042","AC",1
"p7","p12","2044","AC",1
"p7","p12","2046","AC",1
"p7","p12","2048","AC",1
"p7","p12","2050","AC",1
"p7","p15","2010","AC",1303
"p7","p15","2012","AC",1303
"p7","p15","2014","AC",1303
"p7","p15","2016","AC",1303
"p7","p15","2018","AC",1303
"p7","p15","2020","AC",2518
"p7","p15","2022","AC",2518
"p7","p15","2024","AC",2518
