"Dim1","Dim2","Dim3","Dim4","Val"
"p7","p12","2044","AC",1
"p7","p12","2046","AC",1
"p7","p12","2048","AC",1
"p7","p12","2050","AC",1
"p7","p15","2010","AC",1303
"p7","p15","2012","AC",1303
"p7","p15","2014","AC",1303
"p7","p15","2016","AC",1303
"p7","p15","2018","AC",1303
"p7","p15","2020","AC",2518
"p7","p15","2022","AC",2518
"p7","p15","2024","AC",2518
"p7","p15","2026","AC",2518
"p7","p15","2028","AC",2518
"p7","p15","2030","AC",2518
"p7","p15","2032","AC",2518
"p7","p15","2034","AC",2518
"p7","p15","2036","AC",2518.02921631948
"p7","p15","2038","AC",2518.02921631948
"p7","p15","2040","AC",2518.04121631949
"p7","p15","2042","AC",2607.48621631949
"p7","p15","2044","AC",2660.6552216055
"p7","p15","2046","AC",2666.05975401412
"p7","p15","2048","AC",2747.08573312276
"p7","p15","2050","AC",3025.98752053895
"p8","p9","2010","AC",85.182
"p8","p9","2012","AC",85.182
"p8","p9","2014","AC",85.182
"p8","p9","2016","AC",85.182
"p8","p9","2018","AC",85.182
"p8","p9","2020","AC",85.182
"p8","p9","2022","AC",85.182
"p8","p9","2024","AC",85.182
"p8","p9","2026","AC",85.182
"p8","p9","2028","AC",94.0437807478269
"p8","p9","2030","AC",237.641050506485
"p8","p9","2032","AC",240.93074723714
"p8","p9","2034","AC",240.93074723714
"p8","p9","2036","AC",241.829047482132
"p8","p9","2038","AC",345.011453765849
"p8","p9","2040","AC",345.011453765849
"p8","p9","2042","AC",804.7932677624
"p8","p9","2044","AC",1193.5209995549
"p8","p9","2046","AC",1271.15448116052
"p8","p9","2048","AC",1316.57749697825
"p8","p9","2050","AC",1316.57749697825
"p8","p12","2010","AC",300
"p8","p12","2012","AC",300
"p8","p12","2014","AC",300
"p8","p12","2016","AC",300
"p8","p12","2018","AC",300
"p8","p12","2020","AC",300
"p8","p12","2022","AC",300
"p8","p12","2024","AC",300
"p8","p12","2026","AC",300
"p8","p12","2028","AC",300
"p8","p12","2030","AC",300
"p8","p12","2032","AC",300
"p8","p12","2034","AC",300
"p8","p12","2036","AC",300
"p8","p12","2038","AC",300
"p8","p12","2040","AC",300
"p8","p12","2042","AC",300
"p8","p12","2044","AC",300
"p8","p12","2046","AC",300.484607136891
"p8","p12","2048","AC",324.420623066342
"p8","p12","2050","AC",347.228996614927
"p9","p10","2010","AC",8242
"p9","p10","2012","AC",8242
"p9","p10","2014","AC",8242
"p9","p10","2016","AC",8242
"p9","p10","2018","AC",8242
"p9","p10","2020","AC",8242
"p9","p10","2022","AC",8242
"p9","p10","2024","AC",8242
"p9","p10","2026","AC",8242
"p9","p10","2028","AC",8242
"p9","p10","2030","AC",8242
"p9","p10","2032","AC",8242
"p9","p10","2034","AC",8242
"p9","p10","2036","AC",8324.92434265165
"p9","p10","2038","AC",8353.71751279767
"p9","p10","2040","AC",8373.18373990319
"p9","p10","2042","AC",8466.20590509399
"p9","p10","2044","AC",8479.0698727374
"p9","p10","2046","AC",8479.0698727374
"p9","p10","2048","AC",8479.0698727374
"p9","p10","2050","AC",8479.0698727374
"p9","p12","2010","AC",105.862
"p9","p12","2012","AC",105.862
"p9","p12","2014","AC",105.862
"p9","p12","2016","AC",105.862
"p9","p12","2018","AC",105.862
"p9","p12","2020","AC",105.862
"p9","p12","2022","AC",105.862
"p9","p12","2024","AC",105.862
"p9","p12","2026","AC",120.712661433764
"p9","p12","2028","AC",122.106120819985
"p9","p12","2030","AC",123.811566472573
"p9","p12","2032","AC",124.070052105014
"p9","p12","2034","AC",293.343528080594
"p9","p12","2036","AC",482.08053595461
"p9","p12","2038","AC",702.575120792155
"p9","p12","2040","AC",1063.14169950703
"p9","p12","2042","AC",1514.07311246211
"p9","p12","2044","AC",2014.00939775065
"p9","p12","2046","AC",2507.25350204199
"p9","p12","2048","AC",2742.03170046399
"p9","p12","2050","AC",2896.04938260741
"p10","p11","2010","AC",7240
"p10","p11","2012","AC",7240
"p10","p11","2014","AC",7240
"p10","p11","2016","AC",7240
"p10","p11","2018","AC",7240
"p10","p11","2020","AC",7240
"p10","p11","2022","AC",7240
"p10","p11","2024","AC",7240
"p10","p11","2026","AC",8062.56895896323
"p10","p11","2028","AC",8064.76819887454
"p10","p11","2030","AC",8066.03197886742
"p10","p11","2032","AC",8066.45197886742
"p10","p11","2034","AC",8066.84897886742
"p10","p11","2036","AC",8067.05797886742
"p10","p11","2038","AC",8067.37197886742
"p10","p11","2040","AC",8068.72691173451
"p10","p11","2042","AC",8069.30285213186
"p10","p11","2044","AC",8082.16681977528
"p10","p11","2046","AC",8095.09139581009
"p10","p11","2048","AC",8108.39797632264
"p10","p11","2050","AC",8114.57830713447
"p10","p12","2010","AC",7.878
"p10","p12","2012","AC",7.878
"p10","p12","2014","AC",7.878
"p10","p12","2016","AC",7.878
"p10","p12","2018","AC",7.878
"p10","p12","2020","AC",7.878
"p10","p12","2022","AC",7.878
"p10","p12","2024","AC",7.878
"p10","p12","2026","AC",7.878
"p10","p12","2028","AC",7.878
"p10","p12","2030","AC",7.878
"p10","p12","2032","AC",7.878
"p10","p12","2034","AC",7.878
"p10","p12","2036","AC",7.878
"p10","p12","2038","AC",7.878
"p10","p12","2040","AC",7.878
"p10","p12","2042","AC",7.878
"p10","p12","2044","AC",7.878
"p10","p12","2046","AC",7.878
"p10","p12","2048","AC",7.878
"p10","p12","2050","AC",7.878
"p10","p13","2010","AC",2283
"p10","p13","2012","AC",2283
"p10","p13","2014","AC",2283
"p10","p13","2016","AC",2283
"p10","p13","2018","AC",2283
"p10","p13","2020","AC",2283
"p10","p13","2022","AC",2283
"p10","p13","2024","AC",2283
"p10","p13","2026","AC",2283
"p10","p13","2028","AC",2609.06732480939
"p10","p13","2030","AC",2651.84539416072
"p10","p13","2032","AC",2954.4789189445
"p10","p13","2034","AC",2961.12413454308
"p10","p13","2036","AC",2961.18212262312
"p10","p13","2038","AC",2983.00845515024
"p10","p13","2040","AC",2984.36338801733
"p10","p13","2042","AC",2995.72431535776
"p10","p13","2044","AC",3149.87724948698
"p10","p13","2046","AC",3185.93680988404
"p10","p13","2048","AC",3462.63473516962
"p10","p13","2050","AC",3645.30994820039
"p10","p25","2010","DC",1920
"p10","p25","2012","DC",1920
"p10","p25","2014","DC",1920
"p10","p25","2016","DC",1920
"p10","p25","2018","DC",1920
"p10","p25","2020","DC",1920
"p10","p25","2022","DC",1920
"p10","p25","2024","DC",1920
"p10","p25","2026","DC",1920.01087962757
"p10","p25","2028","DC",2761.43149794575
"p10","p25","2030","DC",2761.43149794575
"p10","p25","2032","DC",2761.85149794575
"p10","p25","2034","DC",2910.18205929196
"p10","p25","2036","DC",2911.3106193008
"p10","p25","2038","DC",3027.63636240053
"p10","p25","2040","DC",3245.52917707364
"p10","p25","2042","DC",3412.6417399481
"p10","p25","2044","DC",3466.44259388805
"p10","p25","2046","DC",3520.85377420425
"p10","p25","2048","DC",3666.17855124208
"p10","p25","2050","DC",3679.49799490166
"p10","p27","2010","AC",1746
"p10","p27","2012","AC",1746
"p10","p27","2014","AC",1746
"p10","p27","2016","AC",1746
