"Dim1","Dim2","Dim3","Dim4","Val"
"p5","p15","2034","AC",478
"p5","p15","2036","AC",478
"p5","p15","2038","AC",478
"p5","p15","2040","AC",478
"p5","p15","2042","AC",478
"p5","p15","2044","AC",478
"p5","p15","2046","AC",478
"p5","p15","2048","AC",478
"p5","p15","2050","AC",478
"p6","p7","2010","AC",797
"p6","p7","2012","AC",797
"p6","p7","2014","AC",797
"p6","p7","2016","AC",797
"p6","p7","2018","AC",797
"p6","p7","2020","AC",797
"p6","p7","2022","AC",797
"p6","p7","2024","AC",797
"p6","p7","2026","AC",797
"p6","p7","2028","AC",797
"p6","p7","2030","AC",797
"p6","p7","2032","AC",797
"p6","p7","2034","AC",797
"p6","p7","2036","AC",797
"p6","p7","2038","AC",797
"p6","p7","2040","AC",797
"p6","p7","2042","AC",797
"p6","p7","2044","AC",797
"p6","p7","2046","AC",797
"p6","p7","2048","AC",797
"p6","p7","2050","AC",797
"p6","p8","2010","AC",1939
"p6","p8","2012","AC",1939
"p6","p8","2014","AC",1939
"p6","p8","2016","AC",1939
"p6","p8","2018","AC",1939
"p6","p8","2020","AC",1939
"p6","p8","2022","AC",1939
"p6","p8","2024","AC",1939
"p6","p8","2026","AC",1939
"p6","p8","2028","AC",1948.57660501553
"p6","p8","2030","AC",1953.3938144706
"p6","p8","2032","AC",1964.16660732876
"p6","p8","2034","AC",1964.16660732876
"p6","p8","2036","AC",1964.19360732876
"p6","p8","2038","AC",1964.19360732876
"p6","p8","2040","AC",1964.90568802364
"p6","p8","2042","AC",2137.90765515956
"p6","p8","2044","AC",2373.88190798975
"p6","p8","2046","AC",2546.31597392382
"p6","p8","2048","AC",2719.5837411916
"p6","p8","2050","AC",3261.2077654522
"p6","p9","2010","AC",2366.881
"p6","p9","2012","AC",2366.881
"p6","p9","2014","AC",2366.881
"p6","p9","2016","AC",2366.881
"p6","p9","2018","AC",2366.881
"p6","p9","2020","AC",2366.881
"p6","p9","2022","AC",2366.881
"p6","p9","2024","AC",2366.881
"p6","p9","2026","AC",2366.881
"p6","p9","2028","AC",2366.881
"p6","p9","2030","AC",2366.881
"p6","p9","2032","AC",2366.881
"p6","p9","2034","AC",2366.881
"p6","p9","2036","AC",2366.881
"p6","p9","2038","AC",2366.881
"p6","p9","2040","AC",2366.881
"p6","p9","2042","AC",2366.881
"p6","p9","2044","AC",2366.881
"p6","p9","2046","AC",2366.881
"p6","p9","2048","AC",2366.881
"p6","p9","2050","AC",2366.881
"p7","p8","2010","AC",50
"p7","p8","2012","AC",50
"p7","p8","2014","AC",50
"p7","p8","2016","AC",50
"p7","p8","2018","AC",50
"p7","p8","2020","AC",50
"p7","p8","2022","AC",50
"p7","p8","2024","AC",50
"p7","p8","2026","AC",50
"p7","p8","2028","AC",50
"p7","p8","2030","AC",50
"p7","p8","2032","AC",50
"p7","p8","2034","AC",50
"p7","p8","2036","AC",50
"p7","p8","2038","AC",50
"p7","p8","2040","AC",50
"p7","p8","2042","AC",50
"p7","p8","2044","AC",50
"p7","p8","2046","AC",50
"p7","p8","2048","AC",50
"p7","p8","2050","AC",50
"p7","p12","2010","AC",1
"p7","p12","2012","AC",1
"p7","p12","2014","AC",1
"p7","p12","2016","AC",1
"p7","p12","2018","AC",1
"p7","p12","2020","AC",1
"p7","p12","2022","AC",1
"p7","p12","2024","AC",1
"p7","p12","2026","AC",1
"p7","p12","2028","AC",1
"p7","p12","2030","AC",1
"p7","p12","2032","AC",1
"p7","p12","2034","AC",1
"p7","p12","2036","AC",1
"p7","p12","2038","AC",1
"p7","p12","2040","AC",1
"p7","p12","2042","AC",1
"p7","p12","2044","AC",1
"p7","p12","2046","AC",1
"p7","p12","2048","AC",1
"p7","p12","2050","AC",1
"p7","p15","2010","AC",1303
"p7","p15","2012","AC",1303
"p7","p15","2014","AC",1303
"p7","p15","2016","AC",1303
"p7","p15","2018","AC",1303
"p7","p15","2020","AC",2518
"p7","p15","2022","AC",2518
"p7","p15","2024","AC",2518
"p7","p15","2026","AC",2518
"p7","p15","2028","AC",2518
"p7","p15","2030","AC",2518
"p7","p15","2032","AC",2518
"p7","p15","2034","AC",2518
"p7","p15","2036","AC",2518
"p7","p15","2038","AC",2518
"p7","p15","2040","AC",2518
"p7","p15","2042","AC",2518
"p7","p15","2044","AC",2518.62830239444
"p7","p15","2046","AC",2518.62830239444
"p7","p15","2048","AC",2524.3499593029
"p7","p15","2050","AC",2530.93262261886
"p8","p9","2010","AC",85.182
"p8","p9","2012","AC",85.182
"p8","p9","2014","AC",85.182
"p8","p9","2016","AC",85.182
"p8","p9","2018","AC",85.182
"p8","p9","2020","AC",85.182
"p8","p9","2022","AC",85.182
"p8","p9","2024","AC",85.182
"p8","p9","2026","AC",85.182
"p8","p9","2028","AC",94.7586050155345
