"Dim1","Dim2","Dim3","Dim4","Val"
"p7","p15","2044","AC",2518.14461417421
"p7","p15","2046","AC",2518.14461417421
"p7","p15","2048","AC",2518.14461417421
"p7","p15","2050","AC",2518.14461417421
"p8","p9","2010","AC",85.182
"p8","p9","2012","AC",85.182
"p8","p9","2014","AC",85.182
"p8","p9","2016","AC",85.182
"p8","p9","2018","AC",85.182
"p8","p9","2020","AC",85.182
"p8","p9","2022","AC",85.182
"p8","p9","2024","AC",85.182
"p8","p9","2026","AC",85.182
"p8","p9","2028","AC",85.182
"p8","p9","2030","AC",85.182
"p8","p9","2032","AC",85.182
"p8","p9","2034","AC",85.182
"p8","p9","2036","AC",85.182
"p8","p9","2038","AC",85.182
"p8","p9","2040","AC",85.182
"p8","p9","2042","AC",270.92515301523
"p8","p9","2044","AC",852.979218324252
"p8","p9","2046","AC",1519.37367519716
"p8","p9","2048","AC",1931.34730882823
"p8","p9","2050","AC",2326.14251178026
"p8","p12","2010","AC",300
"p8","p12","2012","AC",300
"p8","p12","2014","AC",300
"p8","p12","2016","AC",300
"p8","p12","2018","AC",300
"p8","p12","2020","AC",300
"p8","p12","2022","AC",300
"p8","p12","2024","AC",300
"p8","p12","2026","AC",300
"p8","p12","2028","AC",300
"p8","p12","2030","AC",300.179280397022
"p8","p12","2032","AC",300.179280397022
"p8","p12","2034","AC",300.179280397022
"p8","p12","2036","AC",300.179280397022
"p8","p12","2038","AC",300.179280397022
"p8","p12","2040","AC",300.179280397022
"p8","p12","2042","AC",300.179280397022
"p8","p12","2044","AC",300.179280397022
"p8","p12","2046","AC",300.179280397022
"p8","p12","2048","AC",300.179280397022
"p8","p12","2050","AC",300.179280397022
"p9","p10","2010","AC",8242
"p9","p10","2012","AC",8242
"p9","p10","2014","AC",8242
"p9","p10","2016","AC",8242
"p9","p10","2018","AC",8242
"p9","p10","2020","AC",8242
"p9","p10","2022","AC",8242
"p9","p10","2024","AC",8242
"p9","p10","2026","AC",8242
"p9","p10","2028","AC",8242
"p9","p10","2030","AC",8242
"p9","p10","2032","AC",8242
"p9","p10","2034","AC",8242
"p9","p10","2036","AC",8242
"p9","p10","2038","AC",8242
"p9","p10","2040","AC",8242
"p9","p10","2042","AC",8283.06086582852
"p9","p10","2044","AC",8283.06086582852
"p9","p10","2046","AC",8444.65361273936
"p9","p10","2048","AC",8444.65361273936
"p9","p10","2050","AC",8444.65361273936
