,Hydroelectric power generation,Nuclear electric power generation,Solar electric power generation,Wind electric power generation,Geothermal electric power generation,Biomass electric power generation,Other electric power generation,Electric bulk power transmission and control,Electric power distribution,Coal electric power generation,Gas electric power generation
335,25.62523253713898,0.6713742811649536,1.3980072734321087,94.39681223227704,21.382098979190037,4.68477487362093,0.003331104332318168,0.2950565436403489,5.730824511771643,0.0,0.0
3361MV,0.0,0.7473050615993074,0.0,0.0,0.0,0.0,0.003707844041832049,0.3284267132452971,6.378966673184335,0.0,0.0
3364OT,0.0,0.2873408735705611,0.0,0.0,0.0,0.0,0.001425676341283339,0.1262809842152677,2.452730418321552,0.0,0.0
337,0.0,0.03882400228078122,0.0,0.0,0.0,0.0,0.0001926299618910569,0.017062428878531644,0.33140015957971064,0.0,0.0
339,0.0,1.4842197511099493,0.0,0.0,0.0,0.0,0.007364135001501202,0.6522870506826033,12.669241538054488,0.0,0.0
311FT,0.0,0.7149022957624324,0.0,0.0,0.0,0.0,0.003547073817701604,0.3141862986800764,6.102377935848511,0.0,0.0
313TT,0.0,0.6547492191519605,0.0,0.0,0.0,0.0,0.0032486170854125426,0.28775013725425885,5.588913634982521,0.0,0.0
315AL,0.0,0.1892292510621124,0.0,0.0,0.0,0.0,0.0009388837131511335,0.08316274593831322,1.61525345958926,0.0,0.0
322,0.0,4.147731424754079,0.0,0.0,0.0,0.0,0.020579468868417765,1.8228510273179686,35.40487263822671,0.0,0.0
323,0.0,6.488885534586088,0.0,0.0,0.0,0.0,0.03219538686925908,2.851744833881152,55.388872226622865,0.0,0.0
324,0.0,0.0,0.0,0.0,0.0,13.117369646138606,0.0,0.0,0.0,8142.94807989592,5340.72024859422
325,0.0,486.2521562709865,0.0,0.0,0.0,0.0,0.783545033496214,69.40343691038507,1348.0091393331188,0.0,0.0
326,0.0,1.656223676575244,0.0,62.93120815485135,0.0,0.0,0.008217553187701279,0.7278795855236764,14.137460294464175,0.0,0.0
42,0.0,515.0220006162555,0.0,0.0,0.0,56.21729848345117,2.555343666896387,226.3426164268481,4396.207582024037,0.0,0.0
441,0.0,1.9062686263458282,0.0,0.0,0.0,0.0,0.009458181312463218,0.8377697030092855,16.271834171139233,0.0,0.0
445,0.0,7.907171411277853,0.0,0.0,0.0,0.0,0.03923238301411562,3.4750551697261094,67.49530480062803,0.0,0.0
452,0.0,12.867313227834337,0.0,0.0,0.0,0.0,0.0638427238591267,5.654945495312677,109.83488065518979,0.0,0.0
4A0,0.0,170.5961337854662,0.0,0.0,0.0,0.0,0.8464332582765021,74.97383651009861,1456.2019018881933,0.0,0.0
481,0.0,43.96222596644953,0.0,0.0,0.0,0.0,0.2181238773714806,19.32058288245569,375.2598352790823,0.0,0.0
482,0.0,359.5118134839737,0.0,6.293120815485135,0.0,41.226018887864186,1.7837611493517846,157.9987736503606,3068.778728625777,0.0,0.0
483,0.0,34.826489610323385,0.0,0.0,0.0,0.0,0.17279582145905675,15.305596207406444,297.277548331889,0.0,0.0
484,0.0,345.5216055123931,0.0,6.293120815485135,0.0,46.847748736209304,1.7143470480202587,151.85033674309392,2949.3588625129455,0.0,0.0
485,0.0,29.45551679145682,0.0,0.0,0.0,0.0,0.14614709313028457,12.945153276570268,251.43113516722195,0.0,0.0
486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5340.72024859422
487OS,0.0,594.6393737014483,0.0,0.0,0.0,0.0,2.9503748497288376,261.3329751213739,5075.818353601072,0.0,0.0
493,0.0,14.598783214796834,0.0,0.0,0.0,0.0,0.07243362067579005,6.415894438551436,124.61464050161085,0.0,0.0
511,0.0,24.428744275295024,0.0,0.0,0.0,0.0,0.1212061560465622,10.735979994401319,208.5228022761648,0.0,0.0
512,0.0,0.0825888713686757,0.0,0.0,0.0,0.0,0.0004097746293469792,0.03629627707352051,0.7049753642899431,0.0,0.0
513,0.0,159.06237954155475,0.0,0.0,0.0,0.0,0.7892071478822809,69.90496545280888,1357.7502283759666,0.0,0.0
514,0.0,166.81171391164096,0.0,0.0,0.0,0.0,0.8276564034122734,73.31065417055889,1423.8982423882776,0.0,0.0
521CI,68.3339534323706,452.947920343662,3.4950181835802723,213.9661077264946,57.018930611173424,18.73909949448372,2.2473556436407,199.0622095231094,3866.345669299893,0.0,0.0
523,0.0,50.90465582512446,0.0,0.0,0.0,0.0,0.2525695790133716,22.371652034243606,434.52014405396426,0.0,0.0
524,0.0,55.24279226723217,0.0,0.0,0.0,0.0,0.27409376530096313,24.278182534976402,471.5503064466944,0.0,0.0
525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ORE,102.50093014855592,236.04513439993002,1.3980072734321087,377.58724892910817,85.52839591676015,0.0,1.1711663551631386,103.73745830465182,2014.8720021808376,0.0,0.0
532RL,0.0,61.94500343682856,0.0,0.0,0.0,0.0,0.30734759299363934,27.223680028591268,528.7601179204761,0.0,0.0
5411,0.0,274.13347888340957,0.0,0.0,0.0,0.0,1.3601462623165563,120.47657922655863,2339.992615678239,0.0,0.0
5415,0.0,69.51259777215698,0.0,0.0,0.0,0.0,0.344895123458908,30.549497372055576,593.3568061296106,0.0,0.0
5412OP,34.1669767161853,612.3006449219044,1.7475090917901361,314.6560407742568,114.03786122234685,7.495639797793489,3.0380033733812843,269.09477623410106,5226.574271512633,0.0,0.0
55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
561,0.0,1168.8284975969752,0.0,0.0,0.0,0.0,5.799283322748561,513.6784447728528,9977.074177555833,0.0,0.0
562,0.0,38.091838227250854,0.0,0.0,0.0,0.0,0.1889972417838007,16.740656357490884,325.15043595710006,0.0,0.0
61,0.0,9.997446213213658,0.0,0.0,0.0,0.0,0.04960353312189448,4.393692173883498,85.3378084641384,0.0,0.0
621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
623,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
711AS,0.0,7.501331269666342,0.0,0.0,0.0,0.0,0.037218758286631355,3.2966959551809505,64.0310692815485,0.0,0.0
713,0.0,1.3010054900113572,0.0,0.0,0.0,0.0,0.006455095385284443,0.5717677812647016,11.10533179669821,0.0,0.0
721,0.0,68.57389135693217,0.0,0.0,0.0,0.0,0.3402376185555262,30.136953314084426,585.3440450146136,0.0,0.0
722,0.0,137.23489397189255,0.0,0.0,0.0,0.0,0.6809074501063251,60.31219041029611,1171.4316683085337,0.0,0.0
81,0.0,17.357704524712748,0.0,0.0,0.0,0.0,0.086122340940795,7.628389180630317,148.16468451205546,0.0,0.0
GFGD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GFGN,0.0,0.17641635190942614,0.0,0.0,0.0,0.0,0.00087531097127754,0.07753171441973303,1.5058830553437157,0.0,0.0
GFE,0.0,55.73969039669306,0.0,0.0,0.0,0.0,0.276559185198931,24.49656004619963,475.7918093759201,0.0,0.0
GSLG,0.0,17.653919209937726,0.0,0.0,0.0,0.0,0.08759204576704638,7.758570040472521,150.69316143835127,0.0,0.0
GSLE,0.0,815.0157109000029,0.0,0.0,0.0,0.0,4.043798580987542,358.184287687441,6956.942117890206,0.0,0.0
imports,0.0,1368.4393930840663,0.0,0.0,0.0,0.0,6.78967681470836,601.4037308728507,11680.944946464613,0.0,0.0
V001,928.0062381277238,7960.015045932638,398.2492726645834,900.180573146286,157.95906265449474,189.3213248667211,69.00417983700366,1894.8337586090202,36802.978898868954,6384.559427791035,8374.848228410356
V002,403.06061028556337,4730.435806165904,103.11468486451687,854.8326506483312,182.13839072345982,141.10430560407573,30.444643798252734,1641.7605088249074,31887.5875462734,5753.905309853252,7547.624301636396
V003,1018.9980082945386,11959.255114095871,260.6894740431677,2161.145857985593,460.47332000436296,356.7329644801242,76.9686508728223,4150.618159893978,80616.63027788594,14546.740368655272,19081.53249029708
