,111CA,113FF,211,212,213,22,23,311FT,313TT,315AL,321,322,323,324,325,326,327,331,332,333,334,335,3361MV,3364OT,337,339,42,441,445,452,481,482,483,484,485,486,487OS,493,4A0,511,512,513,514,521CI,523,524,525,532RL,5411,5412OP,5415,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFE,GFGD,GFGN,GSLE,GSLG,HS,ORE
11-3060,0.0,0.0,0.0006238574738307696,0.0006874885813424686,0.0006266911877660446,0.0009114533650200929,0.0009604587446669033,0.0012809204906999657,0.0021847200629141407,0.0045801692769593914,0.002136970639153943,0.00176089016539834,0.002264956848840814,0.00018108421790835646,0.002323304404279265,0.0028458120084786966,0.0010441373896680544,0.0015735202547222183,0.004253976933063968,0.006083832433061825,0.010944991479371868,0.007448995809360363,0.0013670506942380567,0.006930323855114271,0.0050749199365831,0.00566739732490438,0.0040156409827783604,0.0017825892019474995,0.0009289448844700515,0.00020246048022975785,0.0010751046819329122,0.0023386797550943085,0.0006547640757042306,0.00015304824629898997,0.0,0.0011436287263616003,0.0007970648186231235,0.0026046782009573476,0.001591774131703373,0.0009135830509572383,0.0006043663582164027,0.0003825042424542799,0.0007034978570752013,0.000437354439807445,0.00014407600980956197,0.0005210406127109571,0.0,0.00013640269268669355,0.00011530550390434817,0.002163110842978657,0.0024183381346257805,0.01877491318837382,0.0013759088050186755,0.0007137518292500256,0.001499692018582365,0.00041190899635259315,0.0012530143888806677,0.0002677461071027868,0.0004606690534526901,0.0005656458539602253,0.0009617877796408838,0.001560778504499895,7.96863429002237e-05,0.00037712000334547884,0.0008028038466408599,,0.004599506892247495,0.0008927377382811264,0.002996850938828096,1.2483552198421883e-05,0.00010420873060696286
11-3070,0.0,0.0,0.0004415383100500222,0.001156679166488233,0.0018279072602099505,0.0019320631737682111,0.0006362288811508619,0.003227324082199695,0.0006803795864340527,0.00425159297087679,0.0013698529738166302,0.00241262624795986,0.002597638582788113,0.00025536498550092555,0.002575904086515759,0.0031780717351230676,0.0021128046027635945,0.0010224841837850733,0.0020247762061265566,0.0027489605478449365,0.003500030402702902,0.003744984691834638,0.0008453402071831937,0.0022887051960631035,0.0029454024167485933,0.004026914604177362,0.009332435180454887,0.0015543989642848042,0.000975392128693554,0.0007430730391411324,0.009408704480238885,0.04598411501488897,0.008222836673879859,0.031110786828178357,0.014718952143784199,0.0033442261141058477,0.03921379987632711,0.07711296224149253,0.002338324734923327,0.001673621194111367,0.0004080905820285256,0.00034931041505751047,0.00022816772776393582,0.00010180946771890068,0.0,4.490437407919411e-05,0.0,0.005449365369045967,0.0,0.0019119422578555392,0.0010711060045371307,0.015952037791296603,0.001968320950709446,0.009035593674028106,0.0006678850388087722,0.0001967438161377711,0.0005144672696642462,0.0,0.0013402255485332915,0.00036325377874431357,0.00052806290772149,0.0003522760260940202,0.0001245685181965593,0.0008617039354173842,0.009785213865412815,,0.008352104458953983,0.00023945395409970399,0.00531852063208419,1.0650156749067271e-05,8.890412744265048e-05
11-3110,0.0,0.0,0.00012349831624813192,0.0,0.0,0.0002710780421545319,0.00010414383621633598,4.567581514533798e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00017652620542348224,0.000128798239825272,0.0,0.0001429109168070257,0.0,0.00023728896106350937,0.0012817939238251466,0.0,0.0,0.00016700235492141195,0.0,0.00037038885971204735,0.0001380944410367219,0.00016559755465138907,0.0,0.0,0.0003250688977913675,0.0004948274591650331,0.0,8.211693801076106e-05,0.0,0.0,0.00011986056171984594,0.00019428314520054805,2.0940047390887058e-05,0.000516361093404617,0.00016150401311241274,0.00010372777414751252,0.0005920006662491019,0.0003947273014246531,0.00037069909818060237,0.0010011213213929554,0.000172155160568882,0.0,0.0006224032247568438,0.000862669774224876,0.0007220218171724454,0.0057583624876056715,0.0005972268735934384,0.0,0.000993033390362836,0.00028990849703438133,0.0005774632618680316,0.00027184587081578585,0.0004004071133207975,0.0,0.0002453364162780126,0.00022403519203347778,0.0,0.00020930067129093575,0.00013446542832947823,,0.0007703932498060462,0.0001863068569702575,0.0006550404148643245,4.138235442828978e-06,3.4544675713733644e-05
11-3120,0.0,0.0,0.0007902477597082642,0.0012614321833272213,0.001628214651988384,0.0015838954758079107,0.0011169685928810549,0.0021946240748533354,0.002867139156501773,0.0037507203743077436,0.0012555294416808224,0.002515235215975601,0.0032341717933104526,0.00022091571226377898,0.002298848568444746,0.004313416630652265,0.0021428883484765474,0.0020107408082133257,0.003782276281402374,0.004442049351108895,0.007155116521997556,0.0062421664552924595,0.0015862154973272824,0.0030088115602869177,0.002961203931859905,0.007197135479369802,0.002923760424927106,0.0011928737092544,0.0007165880838801977,0.0018180124755325195,0.0013686445943057184,0.0038452463175211176,0.0013860996065624164,0.0016068864540779357,0.0010039277302739472,0.0010553704224793466,0.0029904972644686,0.006351188593642916,0.0013012479867281362,0.0051279240961181515,0.0013771783452507594,0.001345043015873622,0.005038684684589982,0.0038273321427829497,0.0019929641502384496,0.0031575441578126,0.0,0.0007314819757368259,0.0038670343722714312,0.006782927235222584,0.009375396007261606,0.0339151583964186,0.010845736319014894,0.0014547831786755757,0.010393729269319866,0.003551347170466087,0.004346484594114184,0.006556625959623661,0.009198382541732086,0.003374424883723006,0.0038842535777661893,0.007842776791461607,0.0003432642463394251,0.0026429820514893053,0.003143819690649035,,0.007696144602311356,0.002588271973547393,0.006734321311738971,8.764752734924847e-05,0.0007316537329061578
11-3130,0.0,0.0,0.00012236660200989018,0.0,0.0003430456091078948,0.0009879353983163316,0.0002025845575922536,9.686602255195822e-05,0.0,0.0,0.0,0.00014996695325377536,0.0002656270903960909,0.0,0.0004967113003654961,0.00029368647487150717,0.0,0.00010137989899459724,0.00018956372798146711,0.00045182383472557736,0.0010498681610685147,0.0006176766327068618,7.718531296840977e-05,0.00047133736796241786,0.0,0.0012514892784140758,0.0007038218289143345,0.0,0.00014654105552515062,0.0,0.000764029932749783,0.0024201668545749465,0.0005141226274622717,0.00026135397370785136,0.0006315113968131859,0.0,0.0011333710710576717,0.0006203940951267501,0.00019090051560577957,0.0015873322500956743,0.0003627471840253561,0.00033587314027268945,0.001125936313453033,0.0010935942785665286,0.0005615112082845388,0.0012999952170155984,0.0,0.0003200758459568257,0.000910064437941492,0.0016495789971268833,0.002853291036536893,0.008210251218026862,0.0022132401407082875,0.0,0.007198211703202161,0.0007561058004912737,0.0014306018498398388,0.0016302079671861962,0.0033007473341575303,0.0009463774540347706,0.0006247018712260765,0.0003553661666737923,9.790769667128934e-05,0.001700286047539107,0.0009691846165283036,,0.0010396110709829372,0.0005605614284359622,0.0010783114373586918,2.083186225270761e-05,0.00017389777260739912
11-9010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002482725059221082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00017651169155069715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5353594983952392e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2537643074174846e-05,0.0,0.0003119262892992318,0.0,0.0,0.00014741181741440712,0.0,0.0,0.0,0.0,0.00044083558126346113,0.0,0.0,0.0,6.866480857499473e-05,4.3922682954566575e-05,,0.00025164638139297163,0.0,0.0002190100188911173,0.0,0.0
11-9020,0.0,0.0,0.0017586839262276933,0.0046586679443746505,0.006606062402804424,0.003437928158916889,0.12985421603493968,4.525963459731668e-05,0.0,0.0,0.0008716323737099891,0.0,0.0,0.0001960993915962739,0.0001360132498187004,0.0,0.002987393087105822,0.0,0.0011047158911739296,0.0003554460372428093,0.00010637761889809869,0.00032897052449944484,0.0,0.0,0.0019269947678245223,0.0,0.00035512471276271214,0.0,0.0,0.0,0.0,0.008077851600689325,0.0,5.6915901117991735e-05,0.0,0.0023227738727965427,0.00012603567652443511,0.00012728895720035905,0.00024635178316270614,0.0,0.0,0.0005752774537903659,0.0,0.00010929400015587926,0.00022633031359174828,2.490204056766605e-05,0.0,0.0002752504091966684,0.0,0.006121570441479082,0.0002750042597157232,0.008632099482631585,0.0,0.01384155379864971,0.0018215046512966514,2.965657226661869e-05,0.0004925022761743708,0.0,0.0014543214885163415,0.0001290290571557856,0.0008790694287363629,0.0002709023241600214,4.5750798878054855e-05,0.00031144395317944033,0.0009285569516879575,,0.005319984597736618,0.00043285265291611994,0.0035664008268281237,0.00037162551596081356,0.00310221182752211
11-9030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2321208272950626e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00013847713178905788,0.0,0.0,7.834659484640955e-05,0.0,0.0,5.0726378934134554e-05,0.0,0.0,0.0,0.0001894969685163272,7.029133154774921e-05,0.002490743815442206,0.0,0.0,0.40081108053741793,0.0003800637471659288,0.0012796155920690982,0.003486494250661332,0.18743838147844535,0.003365877735987846,0.003576389451173007,0.00016652424235438575,0.0,0.004228315852530096,0.0012149931639035647,,0.00696106459229266,0.0009858216389050183,0.14132830947674177,0.0,0.0
11-9040,0.0,0.0,0.003291364519078507,0.001866040435072415,0.0033540846233578478,0.00884290678771521,0.0021952897887343196,0.0007460036323281851,0.0025583577734498673,0.0009507843184871726,0.0017579779830646754,0.0030722553280610517,0.0009383330957487926,0.0010655421678104904,0.005519794471105198,0.007151778869475258,0.004169761431434422,0.0041253091609577235,0.010654615840965246,0.024009692319086198,0.061523351797534306,0.02930146371366696,0.006177417896288905,0.025896198255958798,0.006272411423435376,0.019634456614022085,0.0022686943884604313,0.0,0.0,0.0,0.0008880383219227866,0.005754878779263024,0.000836816617039655,0.0,0.0,0.00438254865494999,0.0013466104521622985,0.0009002344012525394,0.00019655841141891619,0.0022341485621482646,0.00024391181791030787,0.0022364370573247287,0.0006303246083405289,7.248596182673824e-05,5.847790986388104e-05,0.00013788352092096573,0.0,7.666014088348665e-05,0.0,0.03256744087394777,0.008849755885083107,0.017096237409246557,0.0018784660912259054,0.0057210385496875744,0.000978477526334716,5.5090821974982616e-05,0.0,0.0,0.0,0.0003664315644407194,0.0,0.0007467839734449258,0.0,0.0005271600546082821,0.001702264144792256,,0.009752787930898378,0.0,0.005453879192275467,2.1072822797479934e-05,0.00017590923473756592
11-9050,0.0,0.0,0.0,0.0,0.0,0.0,1.2559539052003312e-05,0.0005012478520368571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.598436648259227e-05,0.0,0.007457569532525573,0.000767512471839297,0.0,0.0,0.0,0.0,0.0,0.0,0.00019546613400680293,0.0,0.0004863165602270776,0.0,0.0012215969950797718,0.0,0.0,0.0,0.0,0.0,0.0,8.199473831610042e-05,0.0,0.0004850778269265016,0.0,0.01117869545740133,0.0,0.0,0.002726528974896874,0.00010928793420761327,0.00173439844788567,0.016786561364484642,0.0028497201911259432,0.002942519976054616,0.02326755615950605,0.03480313746587499,0.16836606889028052,0.0006603732865503318,0.00014274022391898457,,0.0008178020651787258,0.0009098694032898856,0.00264272735850338,0.0,0.0
11-9060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008807312691711056,0.0,,0.0,0.0,0.0,0.0,0.0
11-9070,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.529323083845805e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008678642315701248,0.010588869286859684,0.007055134292573028,0.0,0.0,2.607750006364451e-05,,0.0001494059125117459,0.0,8.12394312352875e-05,0.0,0.0
11-9080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0006622539762214016,0.00037093466216804426,0.0,0.0002198205021283639,0.0,8.931489690939978e-05,0.0,9.6061996417654e-05,0.0,0.0021976735718409073,0.14248445079542948,0.0,0.00018042028783735856,1.4447971508628584e-05,,8.277681380201594e-05,0.0,9.091516706617279e-05,0.0,0.0
11-9110,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011472288751599841,0.0,0.0,0.0,0.0,0.0,0.0002570479212832149,0.0,0.0,0.0,0.0,0.0007236867299839509,0.0004680081421687056,0.0,0.0,0.00010039507964497763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009129821776544881,0.0,0.0,0.0,0.00016534117125273817,0.0,0.0,0.005822927152739245,0.0,0.00024786120293385054,0.0,0.0034207699825681997,0.00021021190988769584,0.018183790914922334,0.005920510410980703,0.0,0.011277559985342108,0.1056671330228844,0.11587782693814083,0.15798640514147153,0.028216158077873955,0.0,0.00013546711848410776,0.0,0.0,0.0014333340876710155,0.0033201597820891426,,0.01902220307610657,0.06252323513982487,0.011965231191900407,0.0,0.0
11-9120,0.0,0.0,0.000321095622245143,0.0,0.0,0.00016017713380237414,2.191864459901955e-05,0.00014857645564360508,0.0,0.0,0.0,0.0,0.0,0.0,0.005946010165356891,0.0,0.00022740226246612178,0.0,0.0,0.0,0.001197218078411464,0.0,0.0,0.0003884447996668774,0.0,0.003107911290074867,0.000800359385707818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002863240577175095,0.0,0.0,0.0,0.01194227069964139,0.00021791784079259037,0.004281901663049825,0.00022543960335929676,0.0023181986768337874,0.004993470020757745,0.001302992326400516,0.0018031707013532287,0.0,0.0,0.001042752023689559,0.0,0.0,0.0,0.0006511223676654673,0.0016231013672737549,,0.009299240352209845,0.00038701988678878986,0.00569153370591384,0.0,0.0
11-9130,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15450752725107542,,0.0,0.0,0.0,0.0,0.0
