,111CA,113FF,211,212,213,Biomass Electric Power Generation,Coal Electric Power Generation,Electric Bulk Power Transmission and Control,Electric Power Distribution,Gas Electric Power Generation,Geothermal Electric Power Generation,Hydroelectric Power Generation,Natural Gas Distribution,Nuclear Electric Power Generation,Other Electric Power Generation,Solar Electric Power Generation,"Water, Sewage and Other Systems",Wind Electric Power Generation,23,311FT,313TT,315AL,321,322,323,324,325,326,327,331,332,333,334,335,3361MV,3364OT,337,339,42,441,445,452,481,482,483,484,485,486,487OS,493,4A0,511,512,513,514,521CI,523,524,525,532RL,5411,5412OP,5415,55,561,562,61,621,622,623,624,711AS,713,721,722,81,GFE,GFGD,GFGN,GSLE,GSLG,HS,ORE
11-3060,0.0,0.0,0.0006238574738307,0.0006874885813424,0.000626691187766,0.0,0.0007157798365990308,0.000889145058901557,0.0008891450589015571,0.0007157798365990307,0.0,0.0,0.0009264673841110172,0.0011327419761031985,0.0,0.0,0.0,0.0,0.0009604587446669,0.0012809204906999,0.0021847200629141,0.0045801692769593,0.0021369706391539,0.0017608901653983,0.0022649568488408,0.0001810842179083,0.0023233044042792,0.0028458120084786,0.001044137389668,0.0015735202547222,0.0042539769330639,0.0060838324330618,0.0109449914793718,0.0074489958093603,0.001367050694238,0.0069303238551142,0.0050749199365831,0.0056673973249043,0.0040156409827783,0.0017825892019474,0.00092894488447,0.0002024604802297,0.0010751046819329,0.0023386797550943,0.0006547640757042,0.0001530482462989,0.0,0.0011436287263616,0.0007970648186231,0.0026046782009573,0.0015917741317033,0.0009135830509572,0.0006043663582164,0.0003825042424542,0.0007034978570752,0.0004373544398074,0.0001440760098095,0.0005210406127109,0.0,0.0001364026926866,0.0001153055039043,0.0021631108429786,0.0024183381346257,0.0187749131883738,0.0013759088050186,0.00071375182925,0.0014996920185823,0.0004119089963525,0.0012530143888806,0.0002677461071027,0.0004606690534526,0.0005656458539602,0.0009617877796408,0.0015607785044998,7.96863429002237e-05,0.0003771200033454,0.0008028038466408,,0.0045995068922474,0.0008927377382811,0.002996850938828,1.2483552198421883e-05,0.0001042087306069
11-3070,0.0,0.0,0.00044153831005,0.0011566791664882,0.0018279072602099,0.0,0.0011205554836847813,0.001856766967754161,0.0018567669677541608,0.001120555483684781,0.0,0.0,0.003066860790682047,0.0009874359907099087,0.019158260869565215,0.007652888318356869,0.002118509507650938,0.0,0.0006362288811508,0.0032273240821996,0.000680379586434,0.0042515929708767,0.0013698529738166,0.0024126262479598,0.0025976385827881,0.0002553649855009,0.0025759040865157,0.003178071735123,0.0021128046027635,0.001022484183785,0.0020247762061265,0.0027489605478449,0.0035000304027029,0.0037449846918346,0.0008453402071831,0.0022887051960631,0.0029454024167485,0.0040269146041773,0.0093324351804548,0.0015543989642848,0.0009753921286935,0.0007430730391411,0.0094087044802388,0.0459841150148889,0.0082228366738798,0.0311107868281783,0.0147189521437841,0.0033442261141058,0.0392137998763271,0.0771129622414925,0.0023383247349233,0.0016736211941113,0.0004080905820285,0.0003493104150575,0.0002281677277639,0.0001018094677189,0.0,4.490437407919411e-05,0.0,0.0054493653690459,0.0,0.0019119422578555,0.0010711060045371,0.0159520377912966,0.0019683209507094,0.0090355936740281,0.0006678850388087,0.0001967438161377,0.0005144672696642,0.0,0.0013402255485332,0.0003632537787443,0.0005280629077214,0.000352276026094,0.0001245685181965,0.0008617039354173,0.0097852138654128,,0.0083521044589539,0.0002394539540997,0.0053185206320841,1.0650156749067271e-05,8.890412744265048e-05
11-3110,0.0,0.0,0.0001234983162481,0.0,0.0,0.0,0.0,0.0003920593437134826,0.0003920593437134826,0.0,0.0,0.0,0.0002769667783219133,0.0,0.0,0.0,0.0,0.0,0.0001041438362163,4.567581514533798e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0001765262054234,0.0001287982398252,0.0,0.000142910916807,0.0,0.0002372889610635,0.0012817939238251,0.0,0.0,0.0001670023549214,0.0,0.000370388859712,0.0001380944410367,0.0001655975546513,0.0,0.0,0.0003250688977913,0.000494827459165,0.0,8.211693801076106e-05,0.0,0.0,0.0001198605617198,0.0001942831452005,2.0940047390887055e-05,0.0005163610934046,0.0001615040131124,0.0001037277741475,0.0005920006662491,0.0003947273014246,0.0003706990981806,0.0010011213213929,0.0001721551605688,0.0,0.0006224032247568,0.0008626697742248,0.0007220218171724,0.0057583624876056,0.0005972268735934,0.0,0.0009930333903628,0.0002899084970343,0.000577463261868,0.0002718458708157,0.0004004071133207,0.0,0.000245336416278,0.0002240351920334,0.0,0.0002093006712909,0.0001344654283294,,0.000770393249806,0.0001863068569702,0.0006550404148643,4.138235442828978e-06,3.4544675713733644e-05
11-3120,0.0,0.0,0.0007902477597082,0.0012614321833272,0.0016282146519883,0.0,0.0016689985968613482,0.0014879808451504911,0.001487980845150491,0.001668998596861348,0.0,0.0,0.001584876653193374,0.0015471919858969696,0.02195217391304348,0.008762002567394095,0.0015726486970996864,0.0,0.001116968592881,0.0021946240748533,0.0028671391565017,0.0037507203743077,0.0012555294416808,0.0025152352159756,0.0032341717933104,0.0002209157122637,0.0022988485684447,0.0043134166306522,0.0021428883484765,0.0020107408082133,0.0037822762814023,0.0044420493511088,0.0071551165219975,0.0062421664552924,0.0015862154973272,0.0030088115602869,0.0029612039318599,0.0071971354793698,0.0029237604249271,0.0011928737092544,0.0007165880838801,0.0018180124755325,0.0013686445943057,0.0038452463175211,0.0013860996065624,0.0016068864540779,0.0010039277302739,0.0010553704224793,0.0029904972644686,0.0063511885936429,0.0013012479867281,0.0051279240961181,0.0013771783452507,0.0013450430158736,0.0050386846845899,0.0038273321427829,0.0019929641502384,0.0031575441578126,0.0,0.0007314819757368,0.0038670343722714,0.0067829272352225,0.0093753960072616,0.0339151583964186,0.0108457363190148,0.0014547831786755,0.0103937292693198,0.003551347170466,0.0043464845941141,0.0065566259596236,0.009198382541732,0.003374424883723,0.0038842535777661,0.0078427767914616,0.0003432642463394,0.0026429820514893,0.003143819690649,,0.0076961446023113,0.0025882719735473,0.0067343213117389,8.764752734924847e-05,0.0007316537329061
11-3130,0.0,0.0,0.0001223666020098,0.0,0.0003430456091078,0.0,0.0003506353929285793,0.0006705089536683196,0.0006705089536683196,0.00035063539292857923,0.0,0.0,0.0009575917083252732,0.005033142121610656,0.0,0.0,0.0,0.0,0.0002025845575922,9.686602255195822e-05,0.0,0.0,0.0,0.0001499669532537,0.000265627090396,0.0,0.0004967113003654,0.0002936864748715,0.0,0.0001013798989945,0.0001895637279814,0.0004518238347255,0.0010498681610685,0.0006176766327068,7.718531296840977e-05,0.0004713373679624,0.0,0.001251489278414,0.0007038218289143,0.0,0.0001465410555251,0.0,0.0007640299327497,0.0024201668545749,0.0005141226274622,0.0002613539737078,0.0006315113968131,0.0,0.0011333710710576,0.0006203940951267,0.0001909005156057,0.0015873322500956,0.0003627471840253,0.0003358731402726,0.001125936313453,0.0010935942785665,0.0005615112082845,0.0012999952170155,0.0,0.0003200758459568,0.0009100644379414,0.0016495789971268,0.0028532910365368,0.0082102512180268,0.0022132401407082,0.0,0.0071982117032021,0.0007561058004912,0.0014306018498398,0.0016302079671861,0.0033007473341575,0.0009463774540347,0.000624701871226,0.0003553661666737,9.790769667128934e-05,0.0017002860475391,0.0009691846165283,,0.0010396110709829,0.0005605614284359,0.0010783114373586,2.083186225270761e-05,0.0001738977726073
11-9010,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002482725059221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001765116915506,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5353594983952392e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.2537643074174846e-05,0.0,0.0003119262892992,0.0,0.0,0.0001474118174144,0.0,0.0,0.0,0.0,0.0004408355812634,0.0,0.0,0.0,6.866480857499473e-05,4.3922682954566575e-05,,0.0002516463813929,0.0,0.0002190100188911,0.0,0.0
11-9020,0.0,0.0,0.0017586839262276,0.0046586679443746,0.0066060624028044,0.0,0.002986344774054872,0.0028863535514638537,0.002886353551463854,0.0029863447740548716,0.0,0.0,0.003506706441727161,0.001780549570473179,0.024010434782608694,0.040427214377406935,0.006890991740828478,0.008405001548467017,0.1298542160349396,4.525963459731668e-05,0.0,0.0,0.0008716323737099,0.0,0.0,0.0001960993915962,0.0001360132498187,0.0,0.0029873930871058,0.0,0.0011047158911739,0.0003554460372428,0.000106377618898,0.0003289705244994,0.0,0.0,0.0019269947678245,0.0,0.0003551247127627,0.0,0.0,0.0,0.0,0.0080778516006893,0.0,5.6915901117991735e-05,0.0,0.0023227738727965,0.0001260356765244,0.0001272889572003,0.0002463517831627,0.0,0.0,0.0005752774537903,0.0,0.0001092940001558,0.0002263303135917,2.490204056766605e-05,0.0,0.0002752504091966,0.0,0.006121570441479,0.0002750042597157,0.0086320994826315,0.0,0.0138415537986497,0.0018215046512966,2.965657226661869e-05,0.0004925022761743,0.0,0.0014543214885163,0.0001290290571557,0.0008790694287363,0.00027090232416,4.5750798878054855e-05,0.0003114439531794,0.0009285569516879,,0.0053199845977366,0.0004328526529161,0.0035664008268281,0.0003716255159608,0.0031022118275221
11-9030,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.042787826086956526,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2321208272950626e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000138477131789,0.0,0.0,7.834659484640955e-05,0.0,0.0,5.072637893413456e-05,0.0,0.0,0.0,0.0001894969685163,7.029133154774921e-05,0.0024907438154422,0.0,0.0,0.4008110805374179,0.0003800637471659,0.001279615592069,0.0034864942506613,0.1874383814784453,0.0033658777359878,0.003576389451173,0.0001665242423543,0.0,0.00422831585253,0.0012149931639035,,0.0069610645922926,0.000985821638905,0.1413283094767417,0.0,0.0
11-9040,0.0,0.0,0.0032913645190785,0.0018660404350724,0.0033540846233578,0.0,0.006132014449342713,0.009198875659286863,0.009198875659286863,0.006132014449342713,0.0,0.0,0.004419763996782699,0.024519481209950473,0.01631478260869565,0.05393068035943517,0.004407465266662398,0.00562081139671725,0.0021952897887343,0.0007460036323281,0.0025583577734498,0.0009507843184871,0.0017579779830646,0.003072255328061,0.0009383330957487,0.0010655421678104,0.0055197944711051,0.0071517788694752,0.0041697614314344,0.0041253091609577,0.0106546158409652,0.0240096923190861,0.0615233517975343,0.0293014637136669,0.0061774178962889,0.0258961982559587,0.0062724114234353,0.019634456614022,0.0022686943884604,0.0,0.0,0.0,0.0008880383219227,0.005754878779263,0.0008368166170396,0.0,0.0,0.0043825486549499,0.0013466104521622,0.0009002344012525,0.0001965584114189,0.0022341485621482,0.0002439118179103,0.0022364370573247,0.0006303246083405,7.248596182673824e-05,5.847790986388104e-05,0.0001378835209209,0.0,7.666014088348665e-05,0.0,0.0325674408739477,0.0088497558850831,0.0170962374092465,0.0018784660912259,0.0057210385496875,0.0009784775263347,5.5090821974982616e-05,0.0,0.0,0.0,0.0003664315644407,0.0,0.0007467839734449,0.0,0.0005271600546082,0.0017022641447922,,0.0097527879308983,0.0,0.0054538791922754,2.1072822797479934e-05,0.0001759092347375
11-9050,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.018777391304347826,0.0,0.0,0.0,1.2559539052003312e-05,0.0005012478520368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.598436648259227e-05,0.0,0.0074575695325255,0.0007675124718392,0.0,0.0,0.0,0.0,0.0,0.0,0.0001954661340068,0.0,0.000486316560227,0.0,0.0012215969950797,0.0,0.0,0.0,0.0,0.0,0.0,8.199473831610042e-05,0.0,0.0004850778269265,0.0,0.0111786954574013,0.0,0.0,0.0027265289748968,0.0001092879342076,0.0017343984478856,0.0167865613644846,0.0028497201911259,0.0029425199760546,0.023267556159506,0.0348031374658749,0.1683660688902805,0.0006603732865503,0.0001427402239189,,0.0008178020651787,0.0009098694032898,0.0026427273585033,0.0,0.0
