"Dim1","Dim2","Dim3","Val"
"battery_4","p89","2046",0.0037187500000001
"battery_4","p89","2050",0.6500375
"battery_4","p91","2050",0.165112499999964
"battery_4","p94","2050",0.124949999999998
"battery_4","p95","2050",0.10784375
"battery_4","p96","2046",3.50932698646113
"battery_4","p96","2048",116.869983562254
"battery_4","p96","2050",11.9408515402299
"battery_4","p98","2046",0.297512926374878
"battery_4","p98","2048",70.4518601424131
"battery_4","p98","2050",61.6170646599826
"battery_4","p104","2046",6.35244733660843
"battery_4","p106","2046",256.36202115601
"battery_4","p106","2048",0.726070206685847
"battery_4","p109","2048",6.68847355056064
"battery_4","p111","2038",0.0427499999999989
"battery_4","p111","2044",0.0025500000000001
"battery_4","p113","2046",60.6252315073815
"battery_4","p116","2038",0.10695
"battery_4","p121","2038",36.9761567425122
"battery_4","p123","2038",6.74645307778972
"battery_4","p123","2046",0.153956249999979
"battery_4","p125","2038",3.35649930693698
"battery_4","p126","2038",126.12571890525
"battery_4","p127","2040",22.1098869762095
"battery_4","p127","2042",54.1270095914705
"battery_4","p127","2044",183.283079954201
"battery_4","p127","2046",200
"battery_4","p127","2050",2.00000000000006
"battery_4","p129","2048",0.428561251543993
"battery_4","p131","2044",0.251602396546609
"battery_4","p131","2046",151.155021586952
"battery_4","p131","2048",59.9057427419951
"battery_4","p131","2050",21.9456712922272
"battery_4","p132","2038",27.461710569602
"battery_4","p132","2040",4.02950130195202
"battery_4","p132","2042",21.5122206596022
"battery_4","p132","2044",25.4331469712521
"battery_4","p132","2046",55.5990814844618
"battery_4","p132","2048",3.91352901016285
"battery_4","p133","2046",0.170676885094124
"battery_4","p133","2048",0.075908111167617
"battery_4","p133","2050",0.304922783727982
"battery_4","p134","2050",0.107501627601337
"battery_6","p126","2038",0.0146385973972953
"battery_6","p128","2048",0.86451020306232
"biopower","p1","2012",36
"biopower","p3","2034",25
"biopower","p5","2036",3.75
"biopower","p6","2036",11.25
"biopower","p6","2038",3.9
"biopower","p8","2040",15
"biopower","p9","2012",18.45
"biopower","p9","2018",9.25
"biopower","p9","2036",22.75
"biopower","p9","2038",62.85
"biopower","p9","2040",65.95
"biopower","p10","2036",5.75
"biopower","p10","2038",7.75
"biopower","p10","2040",34.7
"biopower","p10","2042",23.5
"biopower","p10","2044",11
"biopower","p14","2032",2.9
"biopower","p15","2034",2.9
"biopower","p31","2038",1.1
"biopower","p33","2036",2.4
"biopower","p33","2050",2.5
"biopower","p42","2018",27.5
"biopower","p43","2030",12.5
"biopower","p46","2016",25
"biopower","p46","2020",7.5
"biopower","p46","2024",8
"biopower","p46","2030",9
"biopower","p58","2034",5.55
"biopower","p74","2030",8.85
"biopower","p75","2030",22
"biopower","p80","2012",9.95
"biopower","p85","2048",4
"biopower","p90","2020",44.65
"biopower","p91","2018",33
"biopower","p96","2050",42.5
