OCC,ASECWT,ASECWT_average_years
1400,797669.98,88629.99777777778
1410,3050264.0,338918.22222222225
1420,414542.6,46060.288888888885
1430,1900031.31,211114.59
1440,142589.24,15843.248888888887
1450,372733.41,41414.823333333334
1460,3102737.39,344748.5988888889
1500,125735.87,13970.652222222221
1510,102580.61,11397.845555555556
1520,307902.44,34211.38222222222
1530,4453218.11,494802.0122222223
1540,1300195.13,144466.12555555554
1550,3904723.61,433858.17888888885
1560,706833.34,78537.03777777778
1600,380050.22,42227.80222222222
1610,1041792.62,115754.73555555556
1640,256699.75,28522.194444444445
1650,1539495.5,171055.05555555556
1660,1704.01,189.33444444444444
1700,174773.28,19419.253333333334
1710,86097.45,9566.383333333333
1720,1030295.08,114477.2311111111
1740,1018395.45,113155.04999999999
1760,2139364.59,237707.17666666664
1800,340807.66,37867.51777777777
1815,2633.85,292.65
1820,2081738.35,231304.26111111112
1830,9732.07,1081.341111111111
1840,274995.2,30555.022222222222
1860,554807.66,61645.29555555556
1900,263918.85,29324.316666666666
1910,244575.07,27175.007777777777
1920,647534.28,71948.25333333334
1930,218143.74,24238.193333333333
1940,7286.94,809.66
1950,3666.19,407.3544444444444
1965,1491959.74,165773.30444444445
2000,7769396.94,863266.3266666667
2010,7669327.26,852147.4733333333
2015,981936.04,109104.00444444445
2016,1820172.79,202241.42111111112
2025,896103.32,99567.03555555554
2040,4116181.31,457353.4788888889
2050,664892.23,73876.91444444444
2060,789846.63,87760.73666666666
2100,11793796.73,1310421.858888889
2105,92842.8,10315.866666666667
2145,3930609.53,436734.3922222222
2160,1858736.98,206526.3311111111
2200,13780683.22,1531187.0244444446
2300,6942739.52,771415.5022222222
2310,32141920.06,3571324.451111111
2320,11057123.76,1228569.3066666666
2330,3671739.68,407971.0755555556
2340,8613033.87,957003.7633333332
2400,505920.06,56213.34
2430,1894613.35,210512.59444444446
2440,366739.52,40748.83555555556
2540,9845063.82,1093895.98
2550,1847724.58,205302.73111111112
2600,1963292.15,218143.57222222222
2630,8308150.55,923127.8388888888
2700,380099.67,42233.29666666666
2710,1615303.82,179478.20222222223
2720,2657964.79,295329.4211111111
2740,180590.13,20065.57
2750,1743110.57,193678.95222222223
2760,414110.33,46012.25888888889
2800,482845.9,53649.544444444444
2810,814411.98,90490.22
2825,1419138.2,157682.0222222222
2830,1649214.09,183246.01
2840,622314.48,69146.05333333333
2850,2167459.8,240828.86666666664
2860,995921.37,110657.93
2900,1087822.49,120869.16555555555
2910,1689899.63,187766.62555555554
2920,669109.31,74345.4788888889
3000,547536.82,60837.42444444444
3010,1792187.64,199131.96
3030,1088902.06,120989.11777777778
3040,438607.83,48734.20333333334
3050,2945807.48,327311.9422222222
3060,9950876.03,1105652.8922222222
3110,1043076.34,115897.3711111111
3120,17660.510000000002,1962.278888888889
3140,149425.51,16602.834444444445
3150,1197188.67,133020.96333333332
3160,2495908.81,277323.2011111111
3200,163641.71,18182.41222222222
3210,101511.87,11279.096666666666
3220,988777.16,109864.1288888889
3230,1444981.49,160553.4988888889
3235,4991.26,554.5844444444444
3245,1937779.06,215308.78444444446
3250,838415.35,93157.2611111111
3255,29335848.83,3259538.7588888886
3256,269269.93,29918.88111111111
3257,6737.78,748.6422222222222
3258,1488995.31,165443.92333333334
3260,286762.98,31862.55333333333
3300,3421200.81,380133.42333333334
3310,1806994.97,200777.2188888889
3320,3285131.52,365014.61333333334
3400,2053873.55,228208.17222222223
3420,5698902.02,633211.3355555555
3500,5958063.27,662007.0299999999
3510,1415304.51,157256.05666666667
3520,456711.64,50745.73777777778
3535,1303658.95,144850.99444444443
3540,990875.64,110097.29333333333
3600,19763541.94,2195949.1044444446
3610,226931.77,25214.64111111111
3620,778212.75,86468.08333333333
3630,1667720.41,185302.26777777777
3640,2824745.84,313860.6488888889
3645,4760721.85,528969.0944444444
3646,466735.32,51859.48
3647,451927.09,50214.12111111111
3648,464739.19,51637.68777777778
3649,1148757.68,127639.74222222221
3655,1548116.35,172012.92777777778
3700,446318.01,49590.89
